index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
627,тестеры тормозной жидкости,https://www.wildberries.ru/catalog/0/search.aspx?search=Тестеры+тормозной+жидкости&xsearch=true,16.0,1852.75,497.0,4500.0,9.0,0.0,85.0,11.0,1.0,1.0,0.0,62.0,29.1875,wb,126.0
669,чехлы для клеток,https://www.wildberries.ru/catalog/0/search.aspx?search=Чехлы+для+клеток&xsearch=true,18.0,644.6111111111112,360.0,1885.0,53.0,0.0,724.0,10.0,7.0,7.0,0.0,61.0,38.833333333333336,wb,217.0
727,тенты для мотоциклов,https://www.wildberries.ru/catalog/0/search.aspx?search=Тенты+для+мотоциклов&xsearch=true,78.0,2165.8076923076924,1296.0,3870.0,12.0,0.0,94.0,68.0,68.0,48.0,0.0,62.0,20.846153846153847,wb,138.0
742,лэшбоксы,https://www.wildberries.ru/catalog/0/search.aspx?search=Лэшбоксы&xsearch=true,53.0,1597.132075471698,359.0,3980.0,12.0,0.0,111.0,24.0,17.0,11.0,0.0,71.0,38.924528301886795,wb,123.0
796,слитные купальники для малышей,https://www.wildberries.ru/catalog/0/search.aspx?search=Слитные+купальники+для+малышей&xsearch=true,76.0,840.4605263157895,496.0,2300.0,13.0,0.0,385.0,76.0,3.0,2.0,8.0,90.0,51.43421052631579,wb,154.0
830,ручки коробки передач,https://www.wildberries.ru/catalog/0/search.aspx?search=Ручки+коробки+передач&xsearch=true,97.0,1106.7835051546392,369.0,2640.0,12.0,0.0,146.0,97.0,51.0,51.0,0.0,76.0,29.804123711340214,wb,113.0
848,грозозащита,https://www.wildberries.ru/catalog/0/search.aspx?search=Грозозащита&xsearch=true,6.0,1709.0,370.0,4252.0,22.0,0.0,40.0,6.0,6.0,6.0,0.0,49.0,26.5,wb,112.0
876,треноги костровые,https://www.wildberries.ru/catalog/0/search.aspx?search=Треноги+костровые&xsearch=true,44.0,930.1590909090908,418.0,3198.0,11.0,0.0,131.0,10.0,5.0,4.0,0.0,72.0,27.45454545454545,wb,104.0
1011,матрасы пеленальные,https://www.wildberries.ru/catalog/0/search.aspx?search=Матрасы+пеленальные&xsearch=true,10.0,1361.9,902.0,2052.0,18.0,0.0,64.0,4.0,3.0,3.0,0.0,45.0,6.6,wb,105.0
1061,табуреты садовые,https://www.wildberries.ru/catalog/0/search.aspx?search=Табуреты+садовые&xsearch=true,46.0,1263.195652173913,375.0,4127.0,12.0,0.0,65.0,38.0,38.0,24.0,0.0,65.0,32.02173913043478,wb,102.0
1067,детские гели для десен,https://www.wildberries.ru/catalog/0/search.aspx?search=Детские+гели+для+десен&xsearch=true,5.0,570.4,379.0,713.0,61.0,9.0,122.0,4.0,4.0,4.0,0.0,85.0,33.2,wb,91.0
1078,уретральные зонды,https://www.wildberries.ru/catalog/0/search.aspx?search=Уретральные+зонды&xsearch=true,26.0,1106.8846153846157,453.0,3344.0,7.0,0.0,77.0,4.0,1.0,1.0,0.0,67.0,35.57692307692308,wb,99.0
1110,тэны для стиральных машин,https://www.wildberries.ru/catalog/0/search.aspx?search=ТЭНы+для+стиральных+машин&xsearch=true,54.0,679.1111111111112,431.0,3233.0,6.0,0.0,63.0,27.0,4.0,4.0,0.0,68.0,20.203703703703702,wb,82.0
1179,моторы для пылесосов,https://www.wildberries.ru/catalog/0/search.aspx?search=Моторы+для+пылесосов&xsearch=true,56.0,1871.8392857142856,1241.0,3999.0,9.0,0.0,75.0,30.0,8.0,4.0,0.0,38.0,7.142857142857142,wb,124.0
1205,чашки для бюстгальтера,https://www.wildberries.ru/catalog/0/search.aspx?search=Чашки+для+бюстгальтера&xsearch=true,14.0,702.8571428571429,350.0,1500.0,23.0,5.0,95.0,7.0,5.0,1.0,0.0,60.0,22.642857142857146,wb,89.0
1211,катушки для лент гимнастических,https://www.wildberries.ru/catalog/0/search.aspx?search=Катушки+для+лент+гимнастических&xsearch=true,5.0,1111.0,500.0,1857.0,40.0,0.0,91.0,4.0,2.0,2.0,0.0,50.0,34.4,wb,102.0
1214,пудры для животных,https://www.wildberries.ru/catalog/0/search.aspx?search=Пудры+для+животных&xsearch=true,16.0,1390.25,778.0,2642.0,38.0,0.0,242.0,11.0,11.0,11.0,0.0,34.0,20.25,wb,143.0
1274,дуги игровые,https://www.wildberries.ru/catalog/0/search.aspx?search=Дуги+игровые&xsearch=true,47.0,1172.5106382978724,462.0,3652.0,2.0,0.0,40.0,1.0,1.0,1.0,0.0,79.0,36.70212765957447,wb,94.0
1286,бинты для лошади,https://www.wildberries.ru/catalog/0/search.aspx?search=Бинты+для+лошади&xsearch=true,3.0,1511.666666666667,1137.0,1699.0,22.0,10.0,41.0,3.0,3.0,3.0,0.0,54.0,18.0,wb,105.0
