index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
157996,маска кожаная заяц,https://www.wildberries.ru/catalog/0/search.aspx?search=маска%20кожаная%20заяц&xsearch=true&xsearch=true&sort=popular,22.0,1170.6363636363635,385.0,2400.0,7.0,0.0,52.0,3.0,2.0,1.0,28.0,86.0,52.5,wb,96.0
158190,a5 aqualen,https://www.wildberries.ru/catalog/0/search.aspx?search=a5%20aqualen&xsearch=true&xsearch=true&sort=popular,67.0,768.0895522388058,370.0,1218.0,192.0,0.0,1524.0,56.0,56.0,54.0,0.0,70.0,35.11940298507463,wb,387.0
158321,лего дубай,https://www.wildberries.ru/catalog/0/search.aspx?search=лего%20дубай&xsearch=true&xsearch=true&sort=popular,1.0,3548.0,3548.0,3548.0,246.0,246.0,246.0,1.0,1.0,1.0,40.0,40.0,40.0,wb,216.0
158483,охотничий пистолет с креплением,https://www.wildberries.ru/catalog/0/search.aspx?search=охотничий%20пистолет%20с%20креплением&xsearch=true&xsearch=true&sort=popular,4.0,2248.5,1591.0,2581.0,2004.0,1.0,4147.0,4.0,4.0,4.0,25.0,51.0,40.75,ali,978.0
158588,ручки аксессуары для мотоциклов,https://www.wildberries.ru/catalog/0/search.aspx?search=ручки%20аксессуары%20для%20мотоциклов&xsearch=true&xsearch=true&sort=popular,37.0,2522.5945945945946,588.0,4460.0,350.0,0.0,5083.0,35.0,35.0,35.0,0.0,51.0,22.594594594594593,ali,1181.0
158683,головоломка час пик,https://www.wildberries.ru/catalog/0/search.aspx?search=головоломка%20час%20пик&xsearch=true&xsearch=true&sort=popular,13.0,601.3076923076923,369.0,1472.0,93.0,0.0,896.0,11.0,8.0,8.0,10.0,70.0,41.384615384615394,wb,251.0
158782,шампунь прикол,https://www.wildberries.ru/catalog/0/search.aspx?search=шампунь%20прикол&xsearch=true&xsearch=true&sort=popular,6.0,608.3333333333334,436.0,1042.0,116.0,12.0,355.0,6.0,6.0,6.0,43.0,78.0,57.83333333333334,wb,140.0
158977,овощерезка капустная,https://www.wildberries.ru/catalog/0/search.aspx?search=овощерезка%20капустная&xsearch=true&xsearch=true&sort=popular,18.0,857.3888888888888,404.0,1444.0,21.0,0.0,174.0,18.0,18.0,17.0,9.0,81.0,50.38888888888889,wb,111.0
159177,пергидроль,https://www.wildberries.ru/catalog/0/search.aspx?search=пергидроль&xsearch=true&xsearch=true&sort=popular,4.0,1115.25,770.0,1801.0,19.0,0.0,50.0,2.0,2.0,2.0,0.0,19.0,4.75,wb,94.0
159391,фата короткая,https://www.wildberries.ru/catalog/0/search.aspx?search=фата%20короткая&xsearch=true&xsearch=true&sort=popular,42.0,1278.952380952381,458.0,2610.0,12.0,0.0,95.0,18.0,15.0,9.0,5.0,69.0,29.83333333333333,wb,109.0
159571,счетчика расхода воды контроллер,https://www.wildberries.ru/catalog/0/search.aspx?search=счетчика%20расхода%20воды%20контроллер&xsearch=true&xsearch=true&sort=popular,17.0,1013.0588235294116,585.0,1400.0,22.0,0.0,239.0,10.0,2.0,1.0,0.0,55.0,28.588235294117645,ali,129.0
159666,фингерборд деревянный,https://www.wildberries.ru/catalog/0/search.aspx?search=фингерборд%20деревянный&xsearch=true&xsearch=true&sort=popular,23.0,795.2173913043479,381.0,1623.0,12.0,0.0,78.0,8.0,6.0,2.0,20.0,80.0,53.39130434782609,wb,89.0
159738,каши засыпайка,https://www.wildberries.ru/catalog/0/search.aspx?search=каши%20засыпайка&xsearch=true&xsearch=true&sort=popular,4.0,656.5,493.0,711.0,81.0,72.0,87.0,4.0,4.0,4.0,5.0,35.0,12.5,wb,86.0
159805,коврик в багажник нива,https://www.wildberries.ru/catalog/0/search.aspx?search=коврик%20в%20багажник%20нива&xsearch=true&xsearch=true&sort=popular,51.0,1715.1372549019611,722.0,3486.0,3.0,0.0,67.0,6.0,6.0,6.0,0.0,50.0,30.92156862745098,wb,117.0
159813,свет солнечные лампы наружного,https://www.wildberries.ru/catalog/0/search.aspx?search=свет%20солнечные%20лампы%20наружного&xsearch=true&xsearch=true&sort=popular,18.0,1724.111111111111,602.0,4271.0,18.0,0.0,207.0,12.0,12.0,12.0,0.0,72.0,19.38888888888889,ali,147.0
159876,турник раздвижной,https://www.wildberries.ru/catalog/0/search.aspx?search=турник%20раздвижной&xsearch=true&xsearch=true&sort=popular,38.0,1455.947368421053,600.0,3103.0,29.0,0.0,350.0,36.0,36.0,36.0,0.0,67.0,32.68421052631579,wb,167.0
159915,воскоплав pro-wax100,https://www.wildberries.ru/catalog/0/search.aspx?search=воскоплав%20pro-wax100&xsearch=true&xsearch=true&sort=popular,6.0,902.8333333333335,596.0,1284.0,818.0,0.0,4387.0,2.0,2.0,2.0,0.0,92.0,39.333333333333336,wb,983.0
160035,зубная паста элмекс,https://www.wildberries.ru/catalog/0/search.aspx?search=зубная%20паста%20элмекс&xsearch=true&xsearch=true&sort=popular,32.0,776.59375,359.0,1240.0,103.0,0.0,1570.0,24.0,20.0,20.0,0.0,20.0,2.5,wb,397.0
160082,набор для специй айсберг,https://www.wildberries.ru/catalog/0/search.aspx?search=набор%20для%20специй%20айсберг&xsearch=true&xsearch=true&sort=popular,20.0,892.35,529.0,1706.0,76.0,2.0,223.0,19.0,18.0,18.0,58.0,76.0,68.55,wb,122.0
160260,блочные тетради,https://www.wildberries.ru/catalog/0/search.aspx?search=блочные%20тетради&xsearch=true&xsearch=true&sort=popular,33.0,463.27272727272725,352.0,796.0,17.0,0.0,58.0,29.0,28.0,22.0,0.0,52.0,43.48484848484848,wb,74.0
160293,непромокаемое покрывало,https://www.wildberries.ru/catalog/0/search.aspx?search=непромокаемое%20покрывало&xsearch=true&xsearch=true&sort=popular,36.0,1309.5833333333333,368.0,2700.0,12.0,0.0,75.0,33.0,26.0,17.0,0.0,81.0,37.638888888888886,wb,106.0
160374,tooth mousse,https://www.wildberries.ru/catalog/0/search.aspx?search=tooth%20mousse&xsearch=true&xsearch=true&sort=popular,49.0,1611.857142857143,1170.0,4110.0,195.0,0.0,1584.0,31.0,31.0,31.0,0.0,51.0,27.0,wb,427.0
160449,настольная игра бэнг,https://www.wildberries.ru/catalog/0/search.aspx?search=настольная%20игра%20бэнг&xsearch=true&xsearch=true&sort=popular,27.0,1725.4444444444446,352.0,2846.0,33.0,10.0,98.0,11.0,11.0,11.0,46.0,51.0,49.25925925925926,wb,124.0
160599,урбеч фисташка,https://www.wildberries.ru/catalog/0/search.aspx?search=урбеч%20фисташка&xsearch=true&xsearch=true&sort=popular,16.0,1084.3125,426.0,2850.0,37.0,0.0,136.0,13.0,13.0,12.0,0.0,71.0,50.125,wb,111.0
160612,клеенка для рисования,https://www.wildberries.ru/catalog/0/search.aspx?search=клеенка%20для%20рисования&xsearch=true&xsearch=true&sort=popular,14.0,712.2857142857142,359.0,1727.0,15.0,0.0,58.0,5.0,4.0,4.0,0.0,50.0,13.214285714285715,wb,82.0
160620,весы сяоми,https://www.wildberries.ru/catalog/0/search.aspx?search=весы%20сяоми&xsearch=true&xsearch=true&sort=popular,55.0,1988.2727272727273,990.0,4375.0,235.0,0.0,5759.0,48.0,48.0,11.0,0.0,79.0,27.09090909090909,wb,1303.0
160711,видеозахват,https://www.wildberries.ru/catalog/0/search.aspx?search=видеозахват&xsearch=true&xsearch=true&sort=popular,12.0,1209.3333333333333,605.0,1677.0,12.0,0.0,40.0,12.0,4.0,2.0,7.0,79.0,34.416666666666664,wb,95.0
160765,шторы макарони,https://www.wildberries.ru/catalog/0/search.aspx?search=шторы%20макарони&xsearch=true&xsearch=true&sort=popular,71.0,1166.4366197183099,382.0,1410.0,8.0,0.0,53.0,22.0,11.0,11.0,45.0,80.0,64.0,wb,96.0
160821,магнитный планшет 713,https://www.wildberries.ru/catalog/0/search.aspx?search=магнитный%20планшет%20713&xsearch=true&xsearch=true&sort=popular,19.0,725.8421052631578,465.0,928.0,22.0,0.0,185.0,17.0,15.0,15.0,0.0,85.0,43.842105263157904,wb,109.0
