index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
7,простынь 160х200 сатин,https://www.wildberries.ru/catalog/0/search.aspx?search=простынь%20160х200%20сатин&xsearch=true&xsearch=true&sort=popular,1524.5,1067.0,2567.0,75.0,4.0,289.0,29.0,27.0,24.0,37.0,68.0,49.5,114337.5,90516.0,22629.0,19.0,wb,157.0
22,домашние халаты женские на молнии,https://www.wildberries.ru/catalog/0/search.aspx?search=домашние%20халаты%20женские%20на%20молнии&xsearch=true&xsearch=true&sort=popular,1315.6666666666667,427.0,3304.0,270.0,48.0,1480.0,30.0,30.0,30.0,36.0,82.0,63.2,355230.0,490417.2,122604.3,95.0,wb,396.0
55,кейс для сварки,https://www.wildberries.ru/catalog/0/search.aspx?search=кейс%20для%20сварки&xsearch=true&xsearch=true&sort=popular,2443.2,627.0,3900.0,111.0,0.0,1728.0,26.0,26.0,26.0,0.0,58.0,22.9,271195.2,622599.0,155649.75,89.0,wb,485.0
62,машинка триммер для животных,https://www.wildberries.ru/catalog/0/search.aspx?search=машинка%20триммер%20для%20животных&xsearch=true&xsearch=true&sort=popular,1575.7,630.0,3190.0,137.0,0.0,1988.0,30.0,30.0,25.0,30.0,96.0,60.13333333333333,215870.9,829197.6,207299.4,135.0,wb,510.0
64,умная лампа,https://www.wildberries.ru/catalog/0/search.aspx?search=умная%20лампа&xsearch=true&xsearch=true&sort=popular,920.3,544.0,1904.0,234.0,0.0,3096.0,19.0,3.0,2.0,0.0,94.0,29.7,215350.2,,,,wb,717.0
84,картины и постеры,https://www.wildberries.ru/catalog/0/search.aspx?search=картины%20и%20постеры&xsearch=true&xsearch=true&sort=popular,1331.7666666666667,357.0,3713.0,80.0,4.0,386.0,30.0,30.0,30.0,21.0,74.0,42.333333333333336,106541.33,207873.6,51968.4,32.0,wb,171.0
91,мишка играет в куку,https://www.wildberries.ru/catalog/0/search.aspx?search=мишка%20играет%20в%20куку&xsearch=true&xsearch=true&sort=popular,845.3333333333335,567.0,1049.0,61.0,0.0,183.0,1.0,1.0,1.0,36.0,78.0,50.33333333333334,51565.33,51565.33,12891.33,16.0,wb,112.0
107,летние джинсы детские,https://www.wildberries.ru/catalog/0/search.aspx?search=летние%20джинсы%20детские&xsearch=true&xsearch=true&sort=popular,1729.0666666666666,630.0,3403.0,36.0,0.0,732.0,23.0,23.0,23.0,16.0,79.0,59.6,62246.4,3667.6,916.9,1.0,wb,255.0
111,акула из икеи 100 см,https://www.wildberries.ru/catalog/0/search.aspx?search=акула%20из%20икеи%20100%20см&xsearch=true&xsearch=true&sort=popular,1153.9666666666667,581.0,2462.0,118.0,0.0,910.0,30.0,30.0,30.0,0.0,81.0,50.93333333333333,136168.07,387840.0,96960.0,100.0,wb,273.0
120,набор бокалов для воды,https://www.wildberries.ru/catalog/0/search.aspx?search=набор%20бокалов%20для%20воды&xsearch=true&xsearch=true&sort=popular,1495.466666666667,668.0,3682.0,241.0,30.0,966.0,30.0,30.0,30.0,27.0,83.0,50.03333333333333,360407.47,749116.8,187279.2,176.0,wb,296.0
153,шапка женская зимняя крупной вязки,https://www.wildberries.ru/catalog/0/search.aspx?search=шапка%20женская%20зимняя%20крупной%20вязки&xsearch=true&xsearch=true&sort=popular,2068.7,599.0,2828.0,261.0,11.0,1635.0,30.0,30.0,30.0,0.0,72.0,48.73333333333333,539930.7,1053748.8,263437.2,127.0,wb,453.0
160,простыня сатин на резинке 200 200,https://www.wildberries.ru/catalog/0/search.aspx?search=простыня%20сатин%20на%20резинке%20200%20200&xsearch=true&xsearch=true&sort=popular,1462.2333333333331,1040.0,2464.0,70.0,1.0,289.0,29.0,28.0,27.0,0.0,68.0,42.4,102356.33,199494.4,49873.6,31.0,wb,155.0
171,расцвет,https://www.wildberries.ru/catalog/0/search.aspx?search=расцвет&xsearch=true&xsearch=true&sort=popular,1093.9666666666667,452.0,2826.0,53.0,4.0,331.0,30.0,23.0,18.0,39.0,62.0,51.06666666666667,57980.23,152281.0,38070.25,50.0,wb,151.0
180,паперклей,https://www.wildberries.ru/catalog/0/search.aspx?search=паперклей&xsearch=true&xsearch=true&sort=popular,604.0,604.0,604.0,86.0,86.0,86.0,1.0,1.0,1.0,56.0,56.0,56.0,51944.0,51944.0,12986.0,22.0,wb,84.0
196,кухонные полочки,https://www.wildberries.ru/catalog/0/search.aspx?search=кухонные%20полочки&xsearch=true&xsearch=true&sort=popular,1657.9333333333334,446.0,3486.0,219.0,37.0,652.0,30.0,30.0,30.0,6.0,75.0,43.56666666666667,363087.4,610818.0,152704.5,103.0,wb,236.0
228,штора мятный,https://www.wildberries.ru/catalog/0/search.aspx?search=штора%20мятный&xsearch=true&xsearch=true&sort=popular,2451.833333333333,1145.0,4320.0,37.0,5.0,309.0,29.0,19.0,16.0,40.0,74.0,62.73333333333333,90717.83,287106.0,71776.5,28.0,wb,192.0
236,кружевной халатик,https://www.wildberries.ru/catalog/0/search.aspx?search=кружевной%20халатик&xsearch=true&xsearch=true&sort=popular,1718.5666666666666,681.0,2703.0,213.0,29.0,540.0,30.0,30.0,30.0,24.0,79.0,54.86666666666667,366054.7,739266.6,184816.65,96.0,wb,215.0
246,темно синие джинсы,https://www.wildberries.ru/catalog/0/search.aspx?search=темно%20синие%20джинсы&xsearch=true&xsearch=true&sort=popular,2086.9666666666667,1034.0,4419.0,246.0,31.0,1359.0,30.0,30.0,30.0,26.0,74.0,61.46666666666667,513393.8,1088275.0,272068.75,127.0,wb,397.0
258,набор тарелок стеклянных,https://www.wildberries.ru/catalog/0/search.aspx?search=набор%20тарелок%20стеклянных&xsearch=true&xsearch=true&sort=popular,1263.7,434.0,3633.0,92.0,10.0,206.0,30.0,30.0,30.0,15.0,72.0,60.8,116260.4,142495.2,35623.8,41.0,wb,131.0
259,мария парр: вратарь и море,https://www.wildberries.ru/catalog/0/search.aspx?search=мария%20парр:%20вратарь%20и%20море&xsearch=true&xsearch=true&sort=popular,878.0,878.0,878.0,93.0,93.0,93.0,1.0,1.0,1.0,31.0,31.0,31.0,81654.0,81654.0,20413.5,24.0,wb,95.0
378,"плед 1,5 спальный","https://www.wildberries.ru/catalog/0/search.aspx?search=плед%201,5%20спальный&xsearch=true&xsearch=true&sort=popular",1133.2333333333333,718.0,3256.0,112.0,5.0,516.0,30.0,30.0,30.0,28.0,89.0,60.3,126922.13,336823.2,84205.8,93.0,wb,191.0
421,бюст спортивный,https://www.wildberries.ru/catalog/0/search.aspx?search=бюст%20спортивный&xsearch=true&xsearch=true&sort=popular,1297.1,390.0,2010.0,110.0,0.0,634.0,30.0,30.0,29.0,14.0,87.0,52.7,142681.0,191458.0,47864.5,37.0,wb,221.0
