index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
139268,каратин,https://www.wildberries.ru/catalog/0/search.aspx?search=каратин&xsearch=true&xsearch=true&sort=popular,1244.9333333333334,363.0,3062.0,47.0,0.0,133.0,30.0,30.0,30.0,25.0,85.0,52.36666666666667,58511.87,79690.4,19922.6,23.0,wb,115.0
139300,книга что если,https://www.wildberries.ru/catalog/0/search.aspx?search=книга%20что%20если&xsearch=true&xsearch=true&sort=popular,628.8333333333334,444.0,1369.0,2158.0,571.0,14016.0,30.0,30.0,30.0,0.0,74.0,34.6,1357022.33,3147177.6,786794.4,1631.0,wb,2963.0
139320,джинсы женские с высокой посадкой на резинке,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20женские%20с%20высокой%20посадкой%20на%20резинке&xsearch=true&xsearch=true&sort=popular,2164.4,1153.0,4474.0,190.0,15.0,797.0,30.0,29.0,29.0,43.0,72.0,57.96666666666667,411236.0,973828.8,243457.2,126.0,wb,283.0
139345,сумка медицинская,https://www.wildberries.ru/catalog/0/search.aspx?search=сумка%20медицинская&xsearch=true&xsearch=true&sort=popular,1820.333333333333,750.0,3769.0,42.0,0.0,149.0,29.0,29.0,21.0,28.0,78.0,62.8,76454.0,189518.4,47379.6,27.0,wb,138.0
139373,вафельницы для вафель,https://www.wildberries.ru/catalog/0/search.aspx?search=вафельницы%20для%20вафель&xsearch=true&xsearch=true&sort=popular,1758.7666666666669,909.0,4390.0,264.0,14.0,1594.0,30.0,29.0,29.0,0.0,77.0,33.333333333333336,464314.4,902717.2,225679.3,146.0,wb,434.0
139377,ночная сорочка с коротким рукавом,https://www.wildberries.ru/catalog/0/search.aspx?search=ночная%20сорочка%20с%20коротким%20рукавом&xsearch=true&xsearch=true&sort=popular,914.2666666666668,396.0,2137.0,438.0,43.0,2583.0,30.0,30.0,30.0,20.0,75.0,46.23333333333333,400448.8,746147.6,186536.9,402.0,wb,610.0
139410,"aravia пилинг регенерирующий с азелаиновой кислотой regenerating azelaic, 150 мл","https://www.wildberries.ru/catalog/0/search.aspx?search=aravia%20пилинг%20регенерирующий%20с%20азелаиновой%20кислотой%20regenerating%20azelaic,%20150%20мл&xsearch=true&xsearch=true&sort=popular",741.0,741.0,741.0,1396.0,1396.0,1396.0,1.0,1.0,1.0,35.0,35.0,35.0,1034436.0,1034436.0,258609.0,349.0,wb,359.0
139420,конструктор детский деревянный,https://www.wildberries.ru/catalog/0/search.aspx?search=конструктор%20детский%20деревянный&xsearch=true&xsearch=true&sort=popular,1765.6333333333334,439.0,3837.0,99.0,26.0,458.0,30.0,30.0,30.0,5.0,72.0,43.56666666666667,174797.7,498980.4,124745.1,51.0,wb,200.0
139423,боди пушап,https://www.wildberries.ru/catalog/0/search.aspx?search=боди%20пушап&xsearch=true&xsearch=true&sort=popular,1954.1333333333332,869.0,3465.0,119.0,2.0,416.0,30.0,30.0,30.0,34.0,75.0,58.83333333333334,232541.87,440922.0,110230.5,54.0,wb,198.0
139433,винтовка игрушечная,https://www.wildberries.ru/catalog/0/search.aspx?search=винтовка%20игрушечная&xsearch=true&xsearch=true&sort=popular,2188.833333333333,497.0,4289.0,55.0,7.0,363.0,30.0,29.0,26.0,5.0,80.0,42.13333333333333,120385.83,358648.2,89662.05,52.0,wb,194.0
