index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
170,ивановна.37,https://www.wildberries.ru/catalog/0/search.aspx?search=ивановна.37&xsearch=true&xsearch=true&sort=popular,841.7666666666667,506.0,2051.0,468.0,76.0,2889.0,30.0,30.0,30.0,41.0,56.0,52.06666666666667,393946.8,1120823.2,280205.8,430.0,wb,671.0
374,девочка джинсы,https://www.wildberries.ru/catalog/0/search.aspx?search=девочка%20джинсы&xsearch=true&xsearch=true&sort=popular,1200.9,404.0,2549.0,133.0,43.0,507.0,30.0,30.0,30.0,12.0,78.0,49.23333333333333,159719.7,210547.2,52636.8,48.0,wb,191.0
429,миша крем,https://www.wildberries.ru/catalog/0/search.aspx?search=миша%20крем&xsearch=true&xsearch=true&sort=popular,1576.7333333333331,650.0,4275.0,36.0,0.0,167.0,29.0,28.0,21.0,0.0,54.0,22.466666666666665,56762.4,173918.4,43479.6,29.0,wb,133.0
2399,термокружка,https://www.wildberries.ru/catalog/0/search.aspx?search=термокружка&xsearch=true&xsearch=true&sort=popular,917.1,366.0,2405.0,472.0,27.0,1829.0,30.0,30.0,30.0,0.0,95.0,52.9,432871.2,990320.4,247580.1,288.0,wb,455.0
2567,зола женщинам,https://www.wildberries.ru/catalog/0/search.aspx?search=зола%20женщинам&xsearch=true&xsearch=true&sort=popular,865.2333333333333,531.0,2204.0,517.0,92.0,1707.0,30.0,30.0,30.0,50.0,62.0,55.36666666666667,447325.63,719074.6,179768.65,208.0,wb,428.0
2849,bootybar,https://www.wildberries.ru/catalog/0/search.aspx?search=bootybar&xsearch=true&xsearch=true&sort=popular,750.3888888888889,378.0,1850.0,139.0,0.0,343.0,16.0,15.0,15.0,0.0,60.0,47.22222222222222,104304.06,149497.6,37374.4,56.0,wb,142.0
3230,постельное белье для малыша,https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%20для%20малыша&xsearch=true&xsearch=true&sort=popular,1359.6333333333334,600.0,2564.0,141.0,32.0,466.0,30.0,30.0,30.0,15.0,75.0,64.9,191708.3,404432.0,101108.0,70.0,wb,188.0
3851,электронная сигарета,https://www.wildberries.ru/catalog/0/search.aspx?search=электронная%20сигарета&xsearch=true&xsearch=true&sort=popular,702.0,560.0,844.0,470.0,0.0,939.0,2.0,2.0,2.0,60.0,60.0,60.0,329940.0,329940.0,82485.0,118.0,wb,264.0
3888,бутылочка для кормления,https://www.wildberries.ru/catalog/0/search.aspx?search=бутылочка%20для%20кормления&xsearch=true&xsearch=true&sort=popular,923.1666666666666,389.0,2807.0,730.0,53.0,3717.0,30.0,30.0,30.0,0.0,61.0,25.33333333333333,673911.67,1847664.0,461916.0,468.0,wb,845.0
4559,полотенце банное,https://www.wildberries.ru/catalog/0/search.aspx?search=полотенце%20банное&xsearch=true&xsearch=true&sort=popular,1081.5,599.0,2027.0,507.0,208.0,1197.0,30.0,30.0,30.0,5.0,70.0,45.63333333333333,548320.5,736326.6,184081.65,175.0,wb,330.0
