index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
158827,трикотажная пряжа бисквит,https://www.wildberries.ru/catalog/0/search.aspx?search=трикотажная%20пряжа%20бисквит&xsearch=true&xsearch=true&sort=popular,16.0,362.3125,360.0,381.0,40.0,7.0,162.0,14.0,14.0,12.0,33.0,70.0,36.0,трикотажный
158834,ковш катюша,https://www.wildberries.ru/catalog/0/search.aspx?search=ковш%20катюша&xsearch=true&xsearch=true&sort=popular,1.0,1117.0,1117.0,1117.0,121.0,121.0,121.0,2.0,2.0,2.0,33.0,33.0,33.0,ковш
158837,шампунь олеси мустаевой,https://www.wildberries.ru/catalog/0/search.aspx?search=шампунь%20олеси%20мустаевой&xsearch=true&xsearch=true&sort=popular,9.0,609.4444444444445,490.0,871.0,229.0,6.0,593.0,10.0,10.0,10.0,,,,шампунь
158852,покрывало гравити фолз,https://www.wildberries.ru/catalog/0/search.aspx?search=покрывало%20гравити%20фолз&xsearch=true&xsearch=true&sort=popular,2.0,1241.0,1086.0,1396.0,37.0,12.0,61.0,3.0,2.0,2.0,71.0,77.0,74.0,фолз покрывало
158869,налокотники эластичные,https://www.wildberries.ru/catalog/0/search.aspx?search=налокотники%20эластичные&xsearch=true&xsearch=true&sort=popular,46.0,1313.7826086956522,353.0,2565.0,10.0,0.0,109.0,14.0,8.0,5.0,,,,налокотник
158875,оксид индола,https://www.wildberries.ru/catalog/0/search.aspx?search=оксид%20индола&xsearch=true&xsearch=true&sort=popular,1.0,737.0,737.0,737.0,65.0,65.0,65.0,2.0,2.0,2.0,45.0,45.0,45.0,оксид индол
158917,seventeen ideal cover,https://www.wildberries.ru/catalog/0/search.aspx?search=seventeen%20ideal%20cover&xsearch=true&xsearch=true&sort=popular,8.0,569.125,360.0,599.0,21.0,5.0,64.0,6.0,6.0,5.0,,,,
158918,тональный крем риммель,https://www.wildberries.ru/catalog/0/search.aspx?search=тональный%20крем%20риммель&xsearch=true&xsearch=true&sort=popular,16.0,528.75,436.0,563.0,36.0,3.0,90.0,15.0,13.0,13.0,9.0,29.0,13.25,крем тональный
158945,seventeen корректор,https://www.wildberries.ru/catalog/0/search.aspx?search=seventeen%20корректор&xsearch=true&xsearch=true&sort=popular,14.0,579.0714285714286,360.0,599.0,17.0,2.0,64.0,10.0,10.0,2.0,,,,корректор
158971,картридж samsung m2070,https://www.wildberries.ru/catalog/0/search.aspx?search=картридж%20samsung%20m2070&xsearch=true&xsearch=true&sort=popular,12.0,1147.25,657.0,2307.0,68.0,0.0,538.0,9.0,9.0,9.0,3.0,53.0,30.91666666666667,картридж
158972,картридж m2020,https://www.wildberries.ru/catalog/0/search.aspx?search=картридж%20m2020&xsearch=true&xsearch=true&sort=popular,24.0,1211.625,429.0,2307.0,70.0,0.0,710.0,21.0,21.0,21.0,,,,картридж
158986,шарм с силиконовым фиксатором,https://www.wildberries.ru/catalog/0/search.aspx?search=шарм%20с%20силиконовым%20фиксатором&xsearch=true&xsearch=true&sort=popular,16.0,571.625,371.0,1092.0,10.0,0.0,64.0,5.0,5.0,2.0,64.0,66.0,65.5,шарм
158988,роликовый массажер с иголками,https://www.wildberries.ru/catalog/0/search.aspx?search=роликовый%20массажер%20с%20иголками&xsearch=true&xsearch=true&sort=popular,22.0,662.3181818181819,386.0,1715.0,33.0,0.0,151.0,23.0,23.0,23.0,27.0,75.0,55.81818181818182,роликовый
159017,точилка турбо,https://www.wildberries.ru/catalog/0/search.aspx?search=точилка%20турбо&xsearch=true&xsearch=true&sort=popular,10.0,1150.2,905.0,1605.0,37.0,0.0,88.0,8.0,8.0,6.0,5.0,53.0,29.5,турбо точилка
159032,hepa фильтр для пылесосов lg,https://www.wildberries.ru/catalog/0/search.aspx?search=hepa%20фильтр%20для%20пылесосов%20lg&xsearch=true&xsearch=true&sort=popular,32.0,569.1875,379.0,1102.0,28.0,0.0,150.0,31.0,23.0,23.0,,,,фильтр
159036,lamel мыло для бровей,https://www.wildberries.ru/catalog/0/search.aspx?search=lamel%20мыло%20для%20бровей&xsearch=true&xsearch=true&sort=popular,1.0,538.0,538.0,538.0,200.0,200.0,200.0,2.0,2.0,2.0,14.0,14.0,14.0,мыло
159067,подушка 50х50 пух перо,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%2050х50%20пух%20перо&xsearch=true&xsearch=true&sort=popular,3.0,623.0,435.0,927.0,34.0,20.0,59.0,4.0,4.0,2.0,38.0,70.0,53.0,подушка
159109,джоанна бэсфорд,https://www.wildberries.ru/catalog/0/search.aspx?search=джоанна%20бэсфорд&xsearch=true&xsearch=true&sort=popular,4.0,420.75,366.0,439.0,22.0,11.0,42.0,5.0,2.0,2.0,40.0,40.0,40.0,джоанна
159118,дефлектор лобового стекла,https://www.wildberries.ru/catalog/0/search.aspx?search=дефлектор%20лобового%20стекла&xsearch=true&xsearch=true&sort=popular,4.0,522.0,522.0,522.0,22.0,5.0,51.0,5.0,3.0,3.0,58.0,58.0,58.0,стекло дефлектор
159119,накидка на стекло автомобиля,https://www.wildberries.ru/catalog/0/search.aspx?search=накидка%20на%20стекло%20автомобиля&xsearch=true&xsearch=true&sort=popular,8.0,1134.125,454.0,1594.0,11.0,0.0,68.0,9.0,9.0,9.0,,,,накидка
159138,совершенство сыворотка,https://www.wildberries.ru/catalog/0/search.aspx?search=совершенство%20сыворотка&xsearch=true&xsearch=true&sort=popular,2.0,1810.5,981.0,2640.0,116.0,4.0,228.0,2.0,2.0,2.0,,,,совершенство сыворотка
159146,schick quattro,https://www.wildberries.ru/catalog/0/search.aspx?search=schick%20quattro&xsearch=true&xsearch=true&sort=popular,40.0,792.55,399.0,1776.0,26.0,0.0,140.0,39.0,38.0,38.0,5.0,68.0,35.7,
159164,valiant чехол для гладильной доски,https://www.wildberries.ru/catalog/0/search.aspx?search=valiant%20чехол%20для%20гладильной%20доски&xsearch=true&xsearch=true&sort=popular,78.0,506.29487179487177,364.0,798.0,124.0,0.0,1130.0,73.0,73.0,73.0,63.0,83.0,74.25641025641026,чехол
159234,развивающие карточки начинаю говорить,https://www.wildberries.ru/catalog/0/search.aspx?search=развивающие%20карточки%20начинаю%20говорить&xsearch=true&xsearch=true&sort=popular,3.0,1395.666666666667,413.0,2136.0,1443.0,59.0,2920.0,4.0,4.0,4.0,4.0,24.0,12.333333333333336,карточка развивать
159278,бьюти щеточка,https://www.wildberries.ru/catalog/0/search.aspx?search=бьюти%20щеточка&xsearch=true&xsearch=true&sort=popular,3.0,789.0,424.0,1519.0,109.0,0.0,323.0,2.0,2.0,2.0,15.0,52.0,27.33333333333333,щеточка бьютя
159289,слип с бабочкой,https://www.wildberries.ru/catalog/0/search.aspx?search=слип%20с%20бабочкой&xsearch=true&xsearch=true&sort=popular,32.0,985.9375,378.0,2340.0,14.0,0.0,136.0,22.0,8.0,8.0,3.0,80.0,37.5,слип
159293,centella green,https://www.wildberries.ru/catalog/0/search.aspx?search=centella%20green&xsearch=true&xsearch=true&sort=popular,24.0,1609.083333333333,521.0,2560.0,12.0,0.0,68.0,10.0,10.0,4.0,,,,
159324,сортер деревянный сундучок,https://www.wildberries.ru/catalog/0/search.aspx?search=сортер%20деревянный%20сундучок&xsearch=true&xsearch=true&sort=popular,25.0,959.28,604.0,1671.0,187.0,0.0,1260.0,26.0,26.0,26.0,16.0,69.0,35.92,сундучок сортер
159396,lumene крем,https://www.wildberries.ru/catalog/0/search.aspx?search=lumene%20крем&xsearch=true&xsearch=true&sort=popular,21.0,1299.857142857143,467.0,1892.0,18.0,1.0,45.0,19.0,8.0,7.0,5.0,38.0,20.52380952380953,крем
