index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
496078,адаптер 9v,https://www.wildberries.ru/catalog/0/search.aspx?search=адаптер%209v&xsearch=true&xsearch=true&sort=popular,8.0,897.75,428.0,2399.0,15.0,1.0,63.0,9.0,5.0,5.0,3.0,40.0,26.625,адаптер
496120,охлаждающий лоток tupperware,https://www.wildberries.ru/catalog/0/search.aspx?search=охлаждающий%20лоток%20tupperware&xsearch=true&xsearch=true&sort=popular,46.0,1408.521739130435,398.0,2999.0,7.0,0.0,65.0,20.0,9.0,6.0,,,,лоток охлаждающий
496128,coffee premium collagen,https://www.wildberries.ru/catalog/0/search.aspx?search=coffee%20premium%20collagen&xsearch=true&xsearch=true&sort=popular,2.0,1684.5,1620.0,1749.0,26.0,2.0,49.0,2.0,2.0,2.0,15.0,55.0,35.0,
496192,rohe,https://www.wildberries.ru/catalog/0/search.aspx?search=rohe&xsearch=true&xsearch=true&sort=popular,10.0,833.1,399.0,1200.0,35.0,3.0,100.0,9.0,9.0,5.0,53.0,69.0,62.7,
496218,новогодний картонный игровой домик раскраска для детей,https://www.wildberries.ru/catalog/0/search.aspx?search=новогодний%20картонный%20игровой%20домик%20раскраска%20для%20детей&xsearch=true&xsearch=true&sort=popular,17.0,1014.8235294117646,375.0,1925.0,210.0,0.0,1117.0,14.0,14.0,11.0,11.0,85.0,50.411764705882355,картонный новогодний
496221,русские полководцы и флотоводцы,https://www.wildberries.ru/catalog/0/search.aspx?search=русские%20полководцы%20и%20флотоводцы&xsearch=true&xsearch=true&sort=popular,1.0,452.0,452.0,452.0,62.0,62.0,62.0,2.0,2.0,2.0,,,,флотоводец русский
496240,ребристый роллер,https://www.wildberries.ru/catalog/0/search.aspx?search=ребристый%20роллер&xsearch=true&xsearch=true&sort=popular,16.0,1038.5625,385.0,2799.0,26.0,0.0,149.0,8.0,6.0,5.0,20.0,75.0,54.5625,роллер ребристый
496280,lv таблетки,https://www.wildberries.ru/catalog/0/search.aspx?search=lv%20таблетки&xsearch=true&xsearch=true&sort=popular,2.0,1138.0,1016.0,1260.0,40.0,11.0,68.0,3.0,2.0,2.0,,,,таблетка
496284,молоко детское агуша,https://www.wildberries.ru/catalog/0/search.aspx?search=молоко%20детское%20агуша&xsearch=true&xsearch=true&sort=popular,7.0,702.8571428571429,684.0,706.0,37.0,4.0,67.0,8.0,7.0,6.0,,,,молоко детский
496285,подушка alvitek,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20alvitek&xsearch=true&xsearch=true&sort=popular,25.0,1050.76,510.0,1777.0,44.0,0.0,288.0,22.0,21.0,21.0,,,,подушка
496299,зажимы на матрас,https://www.wildberries.ru/catalog/0/search.aspx?search=зажимы%20на%20матрас&xsearch=true&xsearch=true&sort=popular,7.0,561.4285714285714,396.0,1048.0,98.0,2.0,632.0,4.0,3.0,3.0,30.0,60.0,39.857142857142854,зажим
496327,жиросжигатель lipo,https://www.wildberries.ru/catalog/0/search.aspx?search=жиросжигатель%20lipo&xsearch=true&xsearch=true&sort=popular,4.0,1549.25,921.0,1990.0,134.0,23.0,238.0,4.0,4.0,3.0,,,,жиросжигатель
496337,комплекс basic kit для объема и против выпадения волос: шампунь 300 мл+кондиционер 300мл,https://www.wildberries.ru/catalog/0/search.aspx?search=комплекс%20basic%20kit%20для%20объема%20и%20против%20выпадения%20волос:%20шампунь%20300%20мл+кондиционер%20300мл&xsearch=true&xsearch=true&sort=popular,1.0,1908.0,1908.0,1908.0,242.0,242.0,242.0,2.0,2.0,2.0,47.0,47.0,47.0,комплекс шампунь
496348,изолон для рукоделия,https://www.wildberries.ru/catalog/0/search.aspx?search=изолон%20для%20рукоделия&xsearch=true&xsearch=true&sort=popular,55.0,911.4909090909093,554.0,1267.0,20.0,0.0,124.0,37.0,37.0,34.0,35.0,78.0,52.36363636363637,изолон
