index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
277139,снуд вязаный детский,https://www.wildberries.ru/catalog/0/search.aspx?search=снуд%20вязаный%20детский&xsearch=true&xsearch=true&sort=popular,602.4666666666667,456.0,1192.0,100.0,10.0,346.0,30.0,30.0,30.0,20.0,62.0,45.06666666666667,60246.67,91945.0,22986.25,44.0,wb,138.0
277159,кофемолка br1181,https://www.wildberries.ru/catalog/0/search.aspx?search=кофемолка%20br1181&xsearch=true&xsearch=true&sort=popular,2690.0,2690.0,2690.0,155.0,155.0,155.0,1.0,1.0,1.0,25.0,25.0,25.0,416950.0,416950.0,104237.5,39.0,wb,168.0
277171,джинсы скинни женские утепленные,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20скинни%20женские%20утепленные&xsearch=true&xsearch=true&sort=popular,2320.090909090909,1391.0,4412.0,24.0,0.0,158.0,21.0,17.0,17.0,39.0,76.0,61.90909090909091,55682.18,7315.2,1828.8,1.0,wb,156.0
277190,посуда элан галери,https://www.wildberries.ru/catalog/0/search.aspx?search=посуда%20элан%20галери&xsearch=true&xsearch=true&sort=popular,1462.2333333333331,392.0,3371.0,223.0,67.0,764.0,30.0,30.0,30.0,51.0,79.0,66.66666666666667,326078.03,642128.0,160532.0,84.0,wb,253.0
277192,кошелек женский зеленый,https://www.wildberries.ru/catalog/0/search.aspx?search=кошелек%20женский%20зеленый&xsearch=true&xsearch=true&sort=popular,2030.8666666666666,671.0,3199.0,38.0,1.0,182.0,30.0,30.0,28.0,39.0,75.0,59.56666666666667,77172.93,202531.2,50632.8,19.0,wb,152.0
277216,бабуши детские,https://www.wildberries.ru/catalog/0/search.aspx?search=бабуши%20детские&xsearch=true&xsearch=true&sort=popular,1197.9375,760.0,1535.0,59.0,4.0,622.0,16.0,16.0,11.0,30.0,80.0,54.9375,70678.31,12828.2,3207.05,3.0,wb,215.0
277223,пирамида спираль,https://www.wildberries.ru/catalog/0/search.aspx?search=пирамида%20спираль&xsearch=true&xsearch=true&sort=popular,1040.3333333333333,999.0,1120.0,76.0,0.0,212.0,2.0,1.0,1.0,47.0,73.0,59.33333333333334,79065.33,79065.33,19766.33,19.0,wb,125.0
277227,тональный крем альянс перфект,https://www.wildberries.ru/catalog/0/search.aspx?search=тональный%20крем%20альянс%20перфект&xsearch=true&xsearch=true&sort=popular,558.3571428571429,469.0,597.0,779.0,170.0,2139.0,14.0,14.0,14.0,30.0,45.0,34.5,434960.21,777816.0,194454.0,351.0,wb,507.0
277256,алмазная икона,https://www.wildberries.ru/catalog/0/search.aspx?search=алмазная%20икона&xsearch=true&xsearch=true&sort=popular,696.6666666666665,382.0,1066.0,74.0,30.0,192.0,30.0,30.0,30.0,30.0,71.0,61.66666666666666,51553.33,78918.4,19729.6,30.0,wb,109.0
277265,мяч для фитнеса фитбол,https://www.wildberries.ru/catalog/0/search.aspx?search=мяч%20для%20фитнеса%20фитбол&xsearch=true&xsearch=true&sort=popular,1019.6333333333333,596.0,1790.0,54.0,0.0,176.0,27.0,26.0,26.0,14.0,76.0,51.16666666666666,55060.2,136512.0,34128.0,36.0,wb,117.0
277287,картридж для принтера scx 3400,https://www.wildberries.ru/catalog/0/search.aspx?search=картридж%20для%20принтера%20scx%203400&xsearch=true&xsearch=true&sort=popular,1146.8,648.0,1953.0,188.0,0.0,3747.0,18.0,18.0,18.0,0.0,53.0,17.6,215598.4,1082989.2,270747.3,237.0,wb,859.0
277302,наволочка на подушку для беременных,https://www.wildberries.ru/catalog/0/search.aspx?search=наволочка%20на%20подушку%20для%20беременных&xsearch=true&xsearch=true&sort=popular,1479.033333333333,434.0,2250.0,220.0,9.0,1248.0,30.0,30.0,30.0,0.0,74.0,49.36666666666667,325387.33,817173.8,204293.45,126.0,wb,354.0
277312,neuro retinol,https://www.wildberries.ru/catalog/0/search.aspx?search=neuro%20retinol&xsearch=true&xsearch=true&sort=popular,610.0,560.0,660.0,108.0,89.0,127.0,2.0,2.0,2.0,0.0,0.0,0.0,65880.0,65880.0,16470.0,27.0,wb,93.0
277323,постельное 2,https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%202&xsearch=true&xsearch=true&sort=popular,1448.7333333333331,354.0,3357.0,45.0,1.0,144.0,30.0,30.0,28.0,3.0,86.0,50.9,65193.0,130839.2,32709.8,21.0,wb,124.0
