index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
324857,манеж в поезд,https://www.wildberries.ru/catalog/0/search.aspx?search=манеж%20в%20поезд&xsearch=true&xsearch=true&sort=popular,74.0,1570.7432432432431,735.0,2599.0,32.0,0.0,896.0,48.0,42.0,39.0,0.0,76.0,25.66216216216216
324907,пряжа гронитекс,https://www.wildberries.ru/catalog/0/search.aspx?search=пряжа%20гронитекс&xsearch=true&xsearch=true&sort=popular,18.0,679.1111111111112,523.0,695.0,70.0,6.0,355.0,17.0,13.0,9.0,46.0,52.0,46.33333333333334
324942,на восток от солнца на запад от луны,https://www.wildberries.ru/catalog/0/search.aspx?search=на%20восток%20от%20солнца%20на%20запад%20от%20луны&xsearch=true&xsearch=true&sort=popular,3.0,418.66666666666674,354.0,526.0,42.0,17.0,68.0,3.0,3.0,3.0,42.0,61.0,51.33333333333334
325148,метро глуховский,https://www.wildberries.ru/catalog/0/search.aspx?search=метро%20глуховский&xsearch=true&xsearch=true&sort=popular,8.0,1416.625,716.0,3000.0,92.0,0.0,303.0,5.0,5.0,4.0,13.0,35.0,20.125
325334,эффект люцифера книга,https://www.wildberries.ru/catalog/0/search.aspx?search=эффект%20люцифера%20книга&xsearch=true&xsearch=true&sort=popular,1.0,792.0,792.0,792.0,59.0,59.0,59.0,1.0,1.0,1.0,36.0,36.0,36.0
325681,фаваид книга,https://www.wildberries.ru/catalog/0/search.aspx?search=фаваид%20книга&xsearch=true&xsearch=true&sort=popular,2.0,742.0,721.0,763.0,28.0,2.0,54.0,1.0,1.0,1.0,36.0,39.0,37.5
325763,козырек мужской,https://www.wildberries.ru/catalog/0/search.aspx?search=козырек%20мужской&xsearch=true&xsearch=true&sort=popular,20.0,774.35,390.0,2175.0,7.0,0.0,43.0,4.0,4.0,1.0,0.0,58.0,34.95
325808,картина по номерам анютины глазки,https://www.wildberries.ru/catalog/0/search.aspx?search=картина%20по%20номерам%20анютины%20глазки&xsearch=true&xsearch=true&sort=popular,26.0,802.3076923076923,371.0,1342.0,14.0,0.0,58.0,23.0,21.0,21.0,0.0,74.0,37.307692307692314
325841,шлейка для бега,https://www.wildberries.ru/catalog/0/search.aspx?search=шлейка%20для%20бега&xsearch=true&xsearch=true&sort=popular,24.0,1136.0416666666667,561.0,1976.0,18.0,0.0,197.0,3.0,3.0,3.0,10.0,70.0,40.41666666666666
325984,нескучная наука,https://www.wildberries.ru/catalog/0/search.aspx?search=нескучная%20наука&xsearch=true&xsearch=true&sort=popular,9.0,607.2222222222222,396.0,984.0,10.0,0.0,49.0,8.0,8.0,1.0,0.0,38.0,28.33333333333333
326302,колпачок для тушения свечей,https://www.wildberries.ru/catalog/0/search.aspx?search=колпачок%20для%20тушения%20свечей&xsearch=true&xsearch=true&sort=popular,23.0,1162.6521739130435,452.0,2929.0,14.0,0.0,93.0,18.0,18.0,18.0,5.0,60.0,25.608695652173914
326666,игровой набор роботы поезда,https://www.wildberries.ru/catalog/0/search.aspx?search=игровой%20набор%20роботы%20поезда&xsearch=true&xsearch=true&sort=popular,6.0,1569.5,890.0,2759.0,18.0,0.0,68.0,4.0,1.0,1.0,5.0,57.0,36.5
326692,у меня мало друзей том 1,https://www.wildberries.ru/catalog/0/search.aspx?search=у%20меня%20мало%20друзей%20том%201&xsearch=true&xsearch=true&sort=popular,3.0,372.0,368.0,380.0,15.0,1.0,42.0,2.0,2.0,2.0,0.0,3.0,2.0
326709,динозавр древний гигант,https://www.wildberries.ru/catalog/0/search.aspx?search=динозавр%20древний%20гигант&xsearch=true&xsearch=true&sort=popular,1.0,1249.0,1249.0,1249.0,108.0,108.0,108.0,1.0,1.0,1.0,43.0,43.0,43.0
326875,метод питера линча,https://www.wildberries.ru/catalog/0/search.aspx?search=метод%20питера%20линча&xsearch=true&xsearch=true&sort=popular,2.0,729.5,711.0,748.0,214.0,156.0,271.0,2.0,2.0,2.0,28.0,32.0,30.0
326887,розовый мобильный телефон,https://www.wildberries.ru/catalog/0/search.aspx?search=розовый%20мобильный%20телефон&xsearch=true&xsearch=true&sort=popular,6.0,1539.666666666667,664.0,2890.0,46.0,0.0,213.0,4.0,2.0,2.0,0.0,33.0,14.5
327538,маска для волос лореаль профессиональный,https://www.wildberries.ru/catalog/0/search.aspx?search=маска%20для%20волос%20лореаль%20профессиональный&xsearch=true&xsearch=true&sort=popular,9.0,1344.2222222222224,1096.0,1409.0,102.0,21.0,170.0,9.0,9.0,9.0,24.0,33.0,25.555555555555557
327706,торф агробалт,https://www.wildberries.ru/catalog/0/search.aspx?search=торф%20агробалт&xsearch=true&xsearch=true&sort=popular,4.0,639.75,624.0,659.0,248.0,36.0,586.0,4.0,4.0,4.0,22.0,51.0,43.25
328278,заборчик для дачи,https://www.wildberries.ru/catalog/0/search.aspx?search=заборчик%20для%20дачи&xsearch=true&xsearch=true&sort=popular,38.0,1075.342105263158,375.0,2120.0,16.0,0.0,66.0,27.0,23.0,23.0,3.0,70.0,43.73684210526316
328334,носов витя малеев в школе и дома,https://www.wildberries.ru/catalog/0/search.aspx?search=носов%20витя%20малеев%20в%20школе%20и%20дома&xsearch=true&xsearch=true&sort=popular,4.0,678.5,408.0,890.0,36.0,2.0,92.0,4.0,2.0,2.0,17.0,40.0,24.25
328400,минипылесос,https://www.wildberries.ru/catalog/0/search.aspx?search=минипылесос&xsearch=true&xsearch=true&sort=popular,7.0,1345.142857142857,448.0,2716.0,27.0,0.0,76.0,5.0,5.0,3.0,3.0,65.0,41.714285714285715
328580,банка белая,https://www.wildberries.ru/catalog/0/search.aspx?search=банка%20белая&xsearch=true&xsearch=true&sort=popular,2.0,764.5,665.0,864.0,35.0,9.0,60.0,1.0,1.0,1.0,56.0,66.0,61.0
328581,автор жизни калантерная,https://www.wildberries.ru/catalog/0/search.aspx?search=автор%20жизни%20калантерная&xsearch=true&xsearch=true&sort=popular,1.0,495.0,495.0,495.0,44.0,44.0,44.0,1.0,1.0,1.0,39.0,39.0,39.0
328823,3mc,https://www.wildberries.ru/catalog/0/search.aspx?search=3mc&xsearch=true&xsearch=true&sort=popular,5.0,2710.2,2222.0,2963.0,57.0,5.0,162.0,5.0,5.0,2.0,47.0,53.0,50.0
328994,the джон маррс,https://www.wildberries.ru/catalog/0/search.aspx?search=the%20джон%20маррс&xsearch=true&xsearch=true&sort=popular,7.0,569.0,405.0,1095.0,54.0,0.0,202.0,5.0,4.0,3.0,25.0,34.0,27.57142857142857
329089,мастерская олеси мустаевой крем 3,https://www.wildberries.ru/catalog/0/search.aspx?search=мастерская%20олеси%20мустаевой%20крем%203&xsearch=true&xsearch=true&sort=popular,8.0,628.5,429.0,881.0,143.0,0.0,863.0,6.0,5.0,5.0,11.0,36.0,26.75
329669,сверхъестественный разум книга,https://www.wildberries.ru/catalog/0/search.aspx?search=сверхъестественный%20разум%20книга&xsearch=true&xsearch=true&sort=popular,1.0,556.0,556.0,556.0,60.0,60.0,60.0,1.0,1.0,1.0,9.0,9.0,9.0
329845,голубь антистресс,https://www.wildberries.ru/catalog/0/search.aspx?search=голубь%20антистресс&xsearch=true&xsearch=true&sort=popular,13.0,987.7692307692308,518.0,2127.0,245.0,5.0,1712.0,11.0,11.0,10.0,37.0,85.0,60.769230769230774
329872,турбослим дренаж,https://www.wildberries.ru/catalog/0/search.aspx?search=турбослим%20дренаж&xsearch=true&xsearch=true&sort=popular,2.0,425.0,399.0,451.0,47.0,40.0,54.0,2.0,2.0,2.0,0.0,0.0,0.0
330151,одна истинная королева,https://www.wildberries.ru/catalog/0/search.aspx?search=одна%20истинная%20королева&xsearch=true&xsearch=true&sort=popular,1.0,560.0,560.0,560.0,50.0,50.0,50.0,1.0,1.0,1.0,25.0,25.0,25.0
330164,дразнюка,https://www.wildberries.ru/catalog/0/search.aspx?search=дразнюка&xsearch=true&xsearch=true&sort=popular,33.0,1295.0,405.0,2850.0,309.0,0.0,1931.0,31.0,31.0,31.0,5.0,74.0,43.18181818181818
330231,веселые портреты,https://www.wildberries.ru/catalog/0/search.aspx?search=веселые%20портреты&xsearch=true&xsearch=true&sort=popular,5.0,522.6,394.0,699.0,37.0,3.0,62.0,5.0,5.0,5.0,43.0,71.0,58.2
330249,академия смысла для детей,https://www.wildberries.ru/catalog/0/search.aspx?search=академия%20смысла%20для%20детей&xsearch=true&xsearch=true&sort=popular,27.0,740.0740740740739,394.0,2100.0,40.0,3.0,123.0,25.0,25.0,23.0,3.0,84.0,64.07407407407408
330731,алмазный огранщик,https://www.wildberries.ru/catalog/0/search.aspx?search=алмазный%20огранщик&xsearch=true&xsearch=true&sort=popular,5.0,517.2,420.0,798.0,76.0,3.0,214.0,4.0,4.0,4.0,20.0,35.0,23.8
330755,мини книжки для малышки,https://www.wildberries.ru/catalog/0/search.aspx?search=мини%20книжки%20для%20малышки&xsearch=true&xsearch=true&sort=popular,2.0,1306.5,768.0,1845.0,41.0,41.0,41.0,2.0,2.0,2.0,30.0,51.0,40.5
330861,erich набор первоклассника,https://www.wildberries.ru/catalog/0/search.aspx?search=erich%20набор%20первоклассника&xsearch=true&xsearch=true&sort=popular,7.0,1125.5714285714287,857.0,1455.0,42.0,1.0,164.0,6.0,6.0,6.0,7.0,46.0,30.0
331278,петронелла и волшебная книга,https://www.wildberries.ru/catalog/0/search.aspx?search=петронелла%20и%20волшебная%20книга&xsearch=true&xsearch=true&sort=popular,10.0,390.2,351.0,448.0,36.0,0.0,104.0,8.0,8.0,7.0,11.0,38.0,28.5
331322,подводка лореаль,https://www.wildberries.ru/catalog/0/search.aspx?search=подводка%20лореаль&xsearch=true&xsearch=true&sort=popular,24.0,542.625,387.0,759.0,65.0,0.0,336.0,22.0,12.0,11.0,0.0,50.0,24.79166666666667
331434,назови меня своим именем,https://www.wildberries.ru/catalog/0/search.aspx?search=назови%20меня%20своим%20именем&xsearch=true&xsearch=true&sort=popular,3.0,893.3333333333335,427.0,1810.0,244.0,6.0,506.0,2.0,2.0,2.0,38.0,38.0,38.0
331643,насос для колясок,https://www.wildberries.ru/catalog/0/search.aspx?search=насос%20для%20колясок&xsearch=true&xsearch=true&sort=popular,12.0,656.4166666666666,372.0,1736.0,110.0,0.0,629.0,4.0,4.0,4.0,3.0,76.0,37.333333333333336
331836,подставка для цветов на колесах,https://www.wildberries.ru/catalog/0/search.aspx?search=подставка%20для%20цветов%20на%20колесах&xsearch=true&xsearch=true&sort=popular,79.0,839.1392405063292,412.0,1953.0,5.0,0.0,78.0,54.0,53.0,53.0,0.0,71.0,43.31645569620254
331961,корм чаппи 15 кг,https://www.wildberries.ru/catalog/0/search.aspx?search=корм%20чаппи%2015%20кг&xsearch=true&xsearch=true&sort=popular,9.0,1753.666666666667,1469.0,2133.0,63.0,7.0,185.0,8.0,8.0,8.0,0.0,65.0,7.888888888888888
332065,тостер мулинекс,https://www.wildberries.ru/catalog/0/search.aspx?search=тостер%20мулинекс&xsearch=true&xsearch=true&sort=popular,3.0,1797.666666666667,1728.0,1835.0,135.0,91.0,217.0,3.0,3.0,3.0,46.0,54.0,49.66666666666666
332177,покрывало стокдефект,https://www.wildberries.ru/catalog/0/search.aspx?search=покрывало%20стокдефект&xsearch=true&xsearch=true&sort=popular,70.0,1180.4285714285713,715.0,1754.0,23.0,0.0,111.0,53.0,46.0,23.0,17.0,65.0,47.2
