index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
635796,"l'oreal стойкая краска для волос colorista permanent gel, оттенок серебристо-серый","https://www.wildberries.ru/catalog/0/search.aspx?search=l'oreal%20стойкая%20краска%20для%20волос%20colorista%20permanent%20gel,%20оттенок%20серебристо-серый&xsearch=true&xsearch=true&sort=popular",1.0,443.0,443.0,443.0,353.0,353.0,353.0,1.0,1.0,1.0,27.0,27.0,27.0
635961,мука фисташки,https://www.wildberries.ru/catalog/0/search.aspx?search=мука%20фисташки&xsearch=true&xsearch=true&sort=popular,7.0,1419.857142857143,479.0,2979.0,14.0,0.0,66.0,3.0,1.0,1.0,4.0,52.0,28.142857142857146
636021,подводка мусс,https://www.wildberries.ru/catalog/0/search.aspx?search=подводка%20мусс&xsearch=true&xsearch=true&sort=popular,1.0,687.0,687.0,687.0,178.0,178.0,178.0,1.0,1.0,1.0,23.0,23.0,23.0
636192,спящие звезды сказка наволочка,https://www.wildberries.ru/catalog/0/search.aspx?search=спящие%20звезды%20сказка%20наволочка&xsearch=true&xsearch=true&sort=popular,8.0,882.5,361.0,2405.0,44.0,4.0,83.0,7.0,7.0,6.0,72.0,72.0,72.0
636378,жутко громко и запредельно близко,https://www.wildberries.ru/catalog/0/search.aspx?search=жутко%20громко%20и%20запредельно%20близко&xsearch=true&xsearch=true&sort=popular,4.0,531.5,396.0,720.0,91.0,0.0,247.0,2.0,2.0,2.0,26.0,40.0,31.0
636646,сидушки на табурет,https://www.wildberries.ru/catalog/0/search.aspx?search=сидушки%20на%20табурет&xsearch=true&xsearch=true&sort=popular,5.0,1018.8,595.0,1323.0,25.0,0.0,60.0,2.0,2.0,2.0,32.0,55.0,44.2
637035,истребитель сухого,https://www.wildberries.ru/catalog/0/search.aspx?search=истребитель%20сухого&xsearch=true&xsearch=true&sort=popular,26.0,1087.6923076923076,400.0,1790.0,1151.0,0.0,29792.0,8.0,4.0,4.0,10.0,68.0,39.153846153846146
637421,термос арктика 2л,https://www.wildberries.ru/catalog/0/search.aspx?search=термос%20арктика%202л&xsearch=true&xsearch=true&sort=popular,1.0,2796.0,2796.0,2796.0,55.0,55.0,55.0,1.0,1.0,1.0,44.0,44.0,44.0
637596,вода донат,https://www.wildberries.ru/catalog/0/search.aspx?search=вода%20донат&xsearch=true&xsearch=true&sort=popular,17.0,972.9411764705884,354.0,1799.0,113.0,0.0,729.0,15.0,15.0,12.0,0.0,36.0,17.647058823529417
637660,высоконагруженные приложения,https://www.wildberries.ru/catalog/0/search.aspx?search=высоконагруженные%20приложения&xsearch=true&xsearch=true&sort=popular,1.0,2830.0,2830.0,2830.0,89.0,89.0,89.0,1.0,1.0,1.0,27.0,27.0,27.0
637828,халат для животных,https://www.wildberries.ru/catalog/0/search.aspx?search=халат%20для%20животных&xsearch=true&xsearch=true&sort=popular,12.0,1360.25,800.0,1885.0,19.0,0.0,114.0,4.0,4.0,4.0,5.0,55.0,29.16666666666667
637853,перчатки из фатина,https://www.wildberries.ru/catalog/0/search.aspx?search=перчатки%20из%20фатина&xsearch=true&xsearch=true&sort=popular,2.0,1951.5,1023.0,2880.0,52.0,1.0,102.0,1.0,1.0,1.0,7.0,52.0,29.5
638230,подгузники моми,https://www.wildberries.ru/catalog/0/search.aspx?search=подгузники%20моми&xsearch=true&xsearch=true&sort=popular,4.0,1549.25,888.0,2110.0,138.0,15.0,435.0,4.0,3.0,2.0,3.0,51.0,28.25
638283,рюкзак канкин,https://www.wildberries.ru/catalog/0/search.aspx?search=рюкзак%20канкин&xsearch=true&xsearch=true&sort=popular,16.0,1726.0,1372.0,1901.0,44.0,0.0,482.0,6.0,4.0,3.0,45.0,51.0,49.0
638514,рюкзак женский how.r.u,https://www.wildberries.ru/catalog/0/search.aspx?search=рюкзак%20женский%20how.r.u&xsearch=true&xsearch=true&sort=popular,54.0,1474.9814814814815,949.0,2397.0,100.0,0.0,767.0,47.0,44.0,42.0,0.0,84.0,64.74074074074075
638515,тв приставка 20 каналов,https://www.wildberries.ru/catalog/0/search.aspx?search=тв%20приставка%2020%20каналов&xsearch=true&xsearch=true&sort=popular,3.0,1067.0,849.0,1296.0,624.0,7.0,1755.0,2.0,2.0,2.0,12.0,47.0,24.0
638543,смесь нан 2,https://www.wildberries.ru/catalog/0/search.aspx?search=смесь%20нан%202&xsearch=true&xsearch=true&sort=popular,14.0,811.9285714285713,424.0,1847.0,1516.0,164.0,5127.0,13.0,13.0,13.0,0.0,25.0,7.0
638592,именной набор столовых приборов илья,https://www.wildberries.ru/catalog/0/search.aspx?search=именной%20набор%20столовых%20приборов%20илья&xsearch=true&xsearch=true&sort=popular,9.0,882.7777777777777,523.0,1480.0,8.0,0.0,40.0,7.0,1.0,1.0,44.0,71.0,55.33333333333334
638857,жд манеж,https://www.wildberries.ru/catalog/0/search.aspx?search=жд%20манеж&xsearch=true&xsearch=true&sort=popular,86.0,1400.1744186046512,643.0,2400.0,33.0,0.0,756.0,84.0,84.0,84.0,0.0,75.0,32.54651162790697
639101,солевой никотин,https://www.wildberries.ru/catalog/0/search.aspx?search=солевой%20никотин&xsearch=true&xsearch=true&sort=popular,19.0,501.15789473684214,396.0,1395.0,16.0,0.0,167.0,18.0,2.0,2.0,7.0,19.0,17.736842105263158
