index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
342597,кочуджянг,https://www.wildberries.ru/catalog/0/search.aspx?search=кочуджянг&xsearch=true&xsearch=true&sort=popular,1.0,599.0,599.0,599.0,255.0,255.0,255.0,1.0,1.0,1.0,0.0,0.0,0.0
342611,tl-wr841n,https://www.wildberries.ru/catalog/0/search.aspx?search=tl-wr841n&xsearch=true&xsearch=true&sort=popular,1.0,1203.0,1203.0,1203.0,127.0,127.0,127.0,1.0,1.0,1.0,17.0,17.0,17.0
342864,бандаж для собак,https://www.wildberries.ru/catalog/0/search.aspx?search=бандаж%20для%20собак&xsearch=true&xsearch=true&sort=popular,20.0,988.75,405.0,2570.0,23.0,0.0,96.0,18.0,18.0,18.0,0.0,73.0,50.8
342887,плюшевый кот книга,https://www.wildberries.ru/catalog/0/search.aspx?search=плюшевый%20кот%20книга&xsearch=true&xsearch=true&sort=popular,1.0,440.0,440.0,440.0,77.0,77.0,77.0,1.0,1.0,1.0,28.0,28.0,28.0
343104,placenta extract gel,https://www.wildberries.ru/catalog/0/search.aspx?search=placenta%20extract%20gel&xsearch=true&xsearch=true&sort=popular,7.0,499.71428571428567,384.0,672.0,31.0,0.0,103.0,7.0,3.0,3.0,16.0,68.0,52.57142857142857
343176,книга сказочных квестов,https://www.wildberries.ru/catalog/0/search.aspx?search=книга%20сказочных%20квестов&xsearch=true&xsearch=true&sort=popular,3.0,1045.0,643.0,1820.0,24.0,0.0,68.0,1.0,1.0,1.0,20.0,47.0,32.333333333333336
343453,трубочки для поильника avent,https://www.wildberries.ru/catalog/0/search.aspx?search=трубочки%20для%20поильника%20avent&xsearch=true&xsearch=true&sort=popular,4.0,727.0,712.0,742.0,917.0,498.0,1674.0,4.0,4.0,4.0,25.0,25.0,25.0
343537,волшебный боб,https://www.wildberries.ru/catalog/0/search.aspx?search=волшебный%20боб&xsearch=true&xsearch=true&sort=popular,2.0,1476.0,1335.0,1617.0,733.0,0.0,1465.0,1.0,1.0,1.0,49.0,51.0,50.0
343558,гирлянда 600 ламп,https://www.wildberries.ru/catalog/0/search.aspx?search=гирлянда%20600%20ламп&xsearch=true&xsearch=true&sort=popular,3.0,800.0,740.0,893.0,149.0,0.0,379.0,3.0,3.0,3.0,0.0,57.0,33.333333333333336
343626,скатерть на стол 110 на 70,https://www.wildberries.ru/catalog/0/search.aspx?search=скатерть%20на%20стол%20110%20на%2070&xsearch=true&xsearch=true&sort=popular,10.0,1238.8,506.0,2565.0,38.0,6.0,109.0,10.0,9.0,9.0,5.0,77.0,38.1
343640,мирралгин,https://www.wildberries.ru/catalog/0/search.aspx?search=мирралгин&xsearch=true&xsearch=true&sort=popular,4.0,1234.0,721.0,2406.0,44.0,5.0,111.0,3.0,2.0,2.0,12.0,19.0,13.75
