index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
491910,валиант хранение вещей,https://www.wildberries.ru/catalog/0/search.aspx?search=валиант%20хранение%20вещей&xsearch=true&xsearch=true&sort=popular,657.6,478.0,1010.0,354.0,169.0,725.0,30.0,30.0,30.0,41.0,76.0,62.36666666666667,232790.4,370388.0,92597.0,145.0,wb,218.0
491935,термобелье шерсть дети,https://www.wildberries.ru/catalog/0/search.aspx?search=термобелье%20шерсть%20дети&xsearch=true&xsearch=true&sort=popular,1789.1666666666667,380.0,4023.0,221.0,18.0,450.0,30.0,30.0,30.0,16.0,67.0,34.06666666666667,395405.83,775165.8,193791.45,73.0,wb,199.0
491947,для выжигания,https://www.wildberries.ru/catalog/0/search.aspx?search=для%20выжигания&xsearch=true&xsearch=true&sort=popular,1392.1666666666667,350.0,2574.0,341.0,34.0,1291.0,30.0,30.0,30.0,25.0,73.0,44.3,474728.83,1235816.0,308954.0,216.0,wb,360.0
491961,комплект белья для кормящих,https://www.wildberries.ru/catalog/0/search.aspx?search=комплект%20белья%20для%20кормящих&xsearch=true&xsearch=true&sort=popular,1610.6666666666667,597.0,2952.0,56.0,0.0,715.0,25.0,25.0,25.0,23.0,77.0,56.833333333333336,90197.33,225908.4,56477.1,40.0,wb,248.0
491983,для зонтов,https://www.wildberries.ru/catalog/0/search.aspx?search=для%20зонтов&xsearch=true&xsearch=true&sort=popular,1087.6666666666667,395.0,2035.0,123.0,11.0,382.0,30.0,28.0,28.0,32.0,83.0,59.03333333333333,133783.0,317376.0,79344.0,58.0,wb,162.0
491994,термосмываемая тушь,https://www.wildberries.ru/catalog/0/search.aspx?search=термосмываемая%20тушь&xsearch=true&xsearch=true&sort=popular,900.0,900.0,900.0,133.0,133.0,133.0,1.0,1.0,1.0,30.0,30.0,30.0,119700.0,119700.0,29925.0,34.0,wb,104.0
492016,покрывало с единорогом,https://www.wildberries.ru/catalog/0/search.aspx?search=покрывало%20с%20единорогом&xsearch=true&xsearch=true&sort=popular,1491.7333333333331,1319.0,1613.0,48.0,1.0,357.0,30.0,28.0,11.0,30.0,60.0,34.2,71603.2,228215.2,57053.8,40.0,wb,170.0
492034,ремень 140 см,https://www.wildberries.ru/catalog/0/search.aspx?search=ремень%20140%20см&xsearch=true&xsearch=true&sort=popular,1520.8461538461538,405.0,4252.0,40.0,0.0,433.0,22.0,22.0,22.0,8.0,91.0,51.69230769230769,60833.85,214924.8,53731.2,24.0,wb,187.0
492071,интерактивная машинка,https://www.wildberries.ru/catalog/0/search.aspx?search=интерактивная%20машинка&xsearch=true&xsearch=true&sort=popular,1464.3333333333333,492.0,2182.0,247.0,46.0,2518.0,30.0,30.0,30.0,12.0,61.0,44.833333333333336,361690.33,1064136.0,266034.0,202.0,wb,615.0
492095,варежки замшевые мужские,https://www.wildberries.ru/catalog/0/search.aspx?search=варежки%20замшевые%20мужские&xsearch=true&xsearch=true&sort=popular,1498.6666666666667,385.0,4352.0,37.0,0.0,554.0,18.0,17.0,17.0,0.0,84.0,43.53333333333333,55450.67,118544.4,29636.1,38.0,wb,211.0
