index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
5669,насос для колясок,https://www.wildberries.ru/catalog/0/search.aspx?search=насос%20для%20колясок&xsearch=true&xsearch=true&sort=popular,16.0,782.8125,366.0,2268.0,142.0,0.0,912.0,11.0,11.0,11.0,0.0,78.0,37.4375
6424,селенцин шампунь,https://www.wildberries.ru/catalog/0/search.aspx?search=селенцин%20шампунь&xsearch=true&xsearch=true&sort=popular,5.0,467.6,350.0,545.0,159.0,70.0,315.0,4.0,4.0,4.0,26.0,57.0,36.4
6613,подводка для глаз буржуа,https://www.wildberries.ru/catalog/0/search.aspx?search=подводка%20для%20глаз%20буржуа&xsearch=true&xsearch=true&sort=popular,5.0,467.6,438.0,488.0,40.0,3.0,116.0,3.0,3.0,2.0,15.0,33.0,25.4
6736,саймон и программа,https://www.wildberries.ru/catalog/0/search.aspx?search=саймон%20и%20программа&xsearch=true&xsearch=true&sort=popular,4.0,653.75,385.0,1372.0,49.0,0.0,193.0,1.0,1.0,1.0,35.0,51.0,42.0
6761,бандаж для кошек,https://www.wildberries.ru/catalog/0/search.aspx?search=бандаж%20для%20кошек&xsearch=true&xsearch=true&sort=popular,10.0,1093.0,411.0,2394.0,14.0,0.0,87.0,6.0,1.0,1.0,15.0,64.0,45.4
6915,экстрим лук,https://www.wildberries.ru/catalog/0/search.aspx?search=экстрим%20лук&xsearch=true&xsearch=true&sort=popular,22.0,789.8181818181819,511.0,1066.0,8.0,0.0,53.0,19.0,17.0,17.0,0.0,33.0,23.59090909090909
7222,плитка для розжига угля,https://www.wildberries.ru/catalog/0/search.aspx?search=плитка%20для%20розжига%20угля&xsearch=true&xsearch=true&sort=popular,26.0,944.7692307692308,633.0,1975.0,34.0,0.0,393.0,22.0,14.0,14.0,0.0,90.0,42.115384615384606
7234,наматрасник 80 190,https://www.wildberries.ru/catalog/0/search.aspx?search=наматрасник%2080%20190&xsearch=true&xsearch=true&sort=popular,19.0,1014.3684210526317,545.0,2822.0,19.0,0.0,71.0,13.0,8.0,8.0,33.0,86.0,59.526315789473685
7294,каша мистраль протеиновая,https://www.wildberries.ru/catalog/0/search.aspx?search=каша%20мистраль%20протеиновая&xsearch=true&xsearch=true&sort=popular,3.0,410.33333333333326,379.0,450.0,96.0,0.0,243.0,2.0,2.0,2.0,15.0,52.0,29.0
7636,замок чаз,https://www.wildberries.ru/catalog/0/search.aspx?search=замок%20чаз&xsearch=true&xsearch=true&sort=popular,36.0,707.6388888888888,363.0,1428.0,387.0,0.0,7119.0,31.0,31.0,31.0,3.0,61.0,19.222222222222218
8239,порошок био мио,https://www.wildberries.ru/catalog/0/search.aspx?search=порошок%20био%20мио&xsearch=true&xsearch=true&sort=popular,7.0,1411.7142857142858,438.0,1956.0,2309.0,0.0,6783.0,2.0,2.0,2.0,0.0,38.0,10.857142857142858
8282,ручка акпп опель,https://www.wildberries.ru/catalog/0/search.aspx?search=ручка%20акпп%20опель&xsearch=true&xsearch=true&sort=popular,5.0,1375.8,1087.0,1575.0,50.0,9.0,122.0,4.0,4.0,2.0,55.0,68.0,60.4
8616,дорожная карта к долголетие,https://www.wildberries.ru/catalog/0/search.aspx?search=дорожная%20карта%20к%20долголетие&xsearch=true&xsearch=true&sort=popular,1.0,767.0,767.0,767.0,63.0,63.0,63.0,1.0,1.0,1.0,19.0,19.0,19.0
8822,фрутоняня мясное пюре,https://www.wildberries.ru/catalog/0/search.aspx?search=фрутоняня%20мясное%20пюре&xsearch=true&xsearch=true&sort=popular,10.0,633.2,415.0,940.0,1762.0,428.0,5199.0,10.0,10.0,10.0,20.0,20.0,20.0
9091,дигидрокверцетин сибирский,https://www.wildberries.ru/catalog/0/search.aspx?search=дигидрокверцетин%20сибирский&xsearch=true&xsearch=true&sort=popular,1.0,800.0,800.0,800.0,215.0,215.0,215.0,1.0,1.0,1.0,0.0,0.0,0.0
9231,сплюшки,https://www.wildberries.ru/catalog/0/search.aspx?search=сплюшки&xsearch=true&xsearch=true&sort=popular,17.0,945.2352941176473,499.0,1710.0,10.0,0.0,85.0,16.0,16.0,16.0,14.0,63.0,39.0
9399,наматрасник непромокаемый 80×190,https://www.wildberries.ru/catalog/0/search.aspx?search=наматрасник%20непромокаемый%2080×190&xsearch=true&xsearch=true&sort=popular,17.0,895.5294117647059,545.0,1520.0,22.0,0.0,71.0,13.0,11.0,11.0,33.0,86.0,60.470588235294116
