index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
362087,аквагрим радуга,https://www.wildberries.ru/catalog/0/search.aspx?search=аквагрим%20радуга&xsearch=true&xsearch=true&sort=popular,2.0,1100.0,750.0,1450.0,188.0,64.0,312.0,2.0,2.0,2.0,30.0,30.0,30.0,wb,147.0
362205,спрей заморозка,https://www.wildberries.ru/catalog/0/search.aspx?search=спрей%20заморозка&xsearch=true&xsearch=true&sort=popular,8.0,584.75,371.0,1188.0,25.0,0.0,44.0,6.0,6.0,6.0,0.0,50.0,30.375,wb,75.0
362325,сифон для душевой кабины,https://www.wildberries.ru/catalog/0/search.aspx?search=сифон%20для%20душевой%20кабины&xsearch=true&xsearch=true&sort=popular,12.0,689.3333333333335,378.0,1004.0,18.0,0.0,76.0,11.0,3.0,3.0,0.0,56.0,32.666666666666664,wb,85.0
362467,адидас рюкзаки емкости школьный,https://www.wildberries.ru/catalog/0/search.aspx?search=адидас%20рюкзаки%20емкости%20школьный&xsearch=true&xsearch=true&sort=popular,94.0,2761.659574468085,559.0,4275.0,29.0,0.0,216.0,93.0,92.0,53.0,7.0,85.0,38.45744680851064,ali,183.0
362590,трость локтевая,https://www.wildberries.ru/catalog/0/search.aspx?search=трость%20локтевая&xsearch=true&xsearch=true&sort=popular,16.0,1155.3125,790.0,2600.0,17.0,0.0,94.0,11.0,11.0,5.0,0.0,41.0,13.8125,wb,104.0
362621,постельное белье ми ми мишки,https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%20ми%20ми%20мишки&xsearch=true&xsearch=true&sort=popular,4.0,1215.25,774.0,1990.0,104.0,0.0,333.0,2.0,2.0,2.0,44.0,75.0,60.25,wb,156.0
362719,простынь на резинке 80х200 детская,https://www.wildberries.ru/catalog/0/search.aspx?search=простынь%20на%20резинке%2080х200%20детская&xsearch=true&xsearch=true&sort=popular,42.0,1092.7380952380952,526.0,2190.0,41.0,0.0,510.0,41.0,41.0,41.0,25.0,64.0,50.5952380952381,wb,188.0
362732,ваш непонятный ребенок,https://www.wildberries.ru/catalog/0/search.aspx?search=ваш%20непонятный%20ребенок&xsearch=true&xsearch=true&sort=popular,10.0,615.5,438.0,1152.0,118.0,0.0,545.0,5.0,5.0,5.0,0.0,31.0,9.2,wb,179.0
362739,котофей резиновые,https://www.wildberries.ru/catalog/0/search.aspx?search=котофей%20резиновые&xsearch=true&xsearch=true&sort=popular,15.0,1001.8,712.0,1319.0,56.0,0.0,234.0,12.0,12.0,7.0,3.0,47.0,26.93333333333333,wb,128.0
362823,пленка самоклеющаяся камуфляж,https://www.wildberries.ru/catalog/0/search.aspx?search=пленка%20самоклеющаяся%20камуфляж&xsearch=true&xsearch=true&sort=popular,14.0,679.5,492.0,907.0,8.0,0.0,72.0,14.0,12.0,12.0,38.0,68.0,59.78571428571429,wb,84.0
362838,леовит вторые блюда,https://www.wildberries.ru/catalog/0/search.aspx?search=леовит%20вторые%20блюда&xsearch=true&xsearch=true&sort=popular,12.0,653.8333333333334,444.0,768.0,37.0,10.0,109.0,12.0,10.0,7.0,30.0,50.0,42.833333333333336,wb,91.0
362932,джинсы черные бифри,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20черные%20бифри&xsearch=true&xsearch=true&sort=popular,90.0,1633.1222222222225,598.0,3599.0,60.0,0.0,394.0,90.0,90.0,90.0,0.0,76.0,33.855555555555554,wb,182.0
362944,чайник совушки,https://www.wildberries.ru/catalog/0/search.aspx?search=чайник%20совушки&xsearch=true&xsearch=true&sort=popular,8.0,837.5,585.0,1206.0,12.0,0.0,55.0,3.0,3.0,1.0,24.0,78.0,49.375,wb,86.0
363014,витамин д3 10000,https://www.wildberries.ru/catalog/0/search.aspx?search=витамин%20д3%2010000&xsearch=true&xsearch=true&sort=popular,13.0,1267.2307692307693,387.0,2337.0,182.0,0.0,1343.0,11.0,11.0,11.0,0.0,54.0,29.923076923076927,wb,366.0
363161,настольная плита мечта,https://www.wildberries.ru/catalog/0/search.aspx?search=настольная%20плита%20мечта&xsearch=true&xsearch=true&sort=popular,52.0,2203.1153846153848,640.0,2982.0,9.0,0.0,50.0,43.0,42.0,1.0,0.0,80.0,39.942307692307686,wb,130.0
363229,игрушка шиба ину,https://www.wildberries.ru/catalog/0/search.aspx?search=игрушка%20шиба%20ину&xsearch=true&xsearch=true&sort=popular,12.0,1238.0,653.0,2490.0,255.0,0.0,3027.0,10.0,10.0,10.0,0.0,61.0,31.33333333333333,wb,713.0
363493,"гирлянда штора 1,5х1,5","https://www.wildberries.ru/catalog/0/search.aspx?search=гирлянда%20штора%201,5х1,5&xsearch=true&xsearch=true&sort=popular",15.0,746.4666666666667,476.0,1487.0,14.0,0.0,187.0,11.0,11.0,11.0,26.0,84.0,49.8,wb,110.0
363535,пленка самоклеющаяся 67 см,https://www.wildberries.ru/catalog/0/search.aspx?search=пленка%20самоклеющаяся%2067%20см&xsearch=true&xsearch=true&sort=popular,17.0,732.0,393.0,828.0,21.0,0.0,97.0,8.0,7.0,4.0,46.0,72.0,58.647058823529406,wb,91.0
363629,наушники беспроводные t500bt,https://www.wildberries.ru/catalog/0/search.aspx?search=наушники%20беспроводные%20t500bt&xsearch=true&xsearch=true&sort=popular,3.0,3172.666666666666,2992.0,3534.0,444.0,0.0,672.0,2.0,2.0,2.0,20.0,27.0,24.66666666666667,wb,291.0
363838,автомобильный электрочайник,https://www.wildberries.ru/catalog/0/search.aspx?search=автомобильный%20электрочайник&xsearch=true&xsearch=true&sort=popular,29.0,1334.7241379310346,447.0,2899.0,12.0,0.0,77.0,9.0,7.0,6.0,0.0,77.0,44.55172413793103,wb,107.0
363991,паучок лукас,https://www.wildberries.ru/catalog/0/search.aspx?search=паучок%20лукас&xsearch=true&xsearch=true&sort=popular,2.0,690.0,640.0,740.0,108.0,4.0,212.0,1.0,1.0,1.0,50.0,68.0,59.0,wb,113.0
