index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
632721,гарри чепмен,https://www.wildberries.ru/catalog/0/search.aspx?search=гарри%20чепмен&xsearch=true&xsearch=true&sort=popular,8.0,651.375,362.0,1495.0,47.0,0.0,145.0,3.0,3.0,3.0,0.0,46.0,30.75
632743,сигнал охотника 3,https://www.wildberries.ru/catalog/0/search.aspx?search=сигнал%20охотника%203&xsearch=true&xsearch=true&sort=popular,8.0,887.125,481.0,1230.0,62.0,0.0,220.0,3.0,3.0,3.0,0.0,63.0,28.25
632825,якорь рыболовный,https://www.wildberries.ru/catalog/0/search.aspx?search=якорь%20рыболовный&xsearch=true&xsearch=true&sort=popular,8.0,1523.0,375.0,2481.0,15.0,0.0,113.0,1.0,1.0,1.0,7.0,51.0,34.0
633618,practi,https://www.wildberries.ru/catalog/0/search.aspx?search=practi&xsearch=true&xsearch=true&sort=popular,2.0,1025.0,999.0,1051.0,338.0,71.0,604.0,2.0,2.0,2.0,3.0,3.0,3.0
634012,подставка под цветы на колесиках,https://www.wildberries.ru/catalog/0/search.aspx?search=подставка%20под%20цветы%20на%20колесиках&xsearch=true&xsearch=true&sort=popular,32.0,863.78125,421.0,2464.0,7.0,0.0,65.0,25.0,25.0,25.0,3.0,71.0,42.28125
634021,ежедневник беременности,https://www.wildberries.ru/catalog/0/search.aspx?search=ежедневник%20беременности&xsearch=true&xsearch=true&sort=popular,19.0,833.0526315789474,364.0,1746.0,13.0,0.0,56.0,13.0,13.0,3.0,3.0,74.0,45.57894736842106
634094,духи зейтун,https://www.wildberries.ru/catalog/0/search.aspx?search=духи%20зейтун&xsearch=true&xsearch=true&sort=popular,17.0,740.0588235294118,495.0,1161.0,28.0,2.0,56.0,16.0,16.0,10.0,67.0,79.0,70.17647058823529
634513,книги про беременность,https://www.wildberries.ru/catalog/0/search.aspx?search=книги%20про%20беременность&xsearch=true&xsearch=true&sort=popular,13.0,807.6923076923077,432.0,1599.0,86.0,0.0,660.0,11.0,11.0,11.0,3.0,39.0,24.07692307692308
634669,соска для недоношенных,https://www.wildberries.ru/catalog/0/search.aspx?search=соска%20для%20недоношенных&xsearch=true&xsearch=true&sort=popular,9.0,1014.1111111111113,387.0,1391.0,31.0,7.0,86.0,8.0,6.0,3.0,3.0,47.0,24.555555555555557
634673,июния халаты,https://www.wildberries.ru/catalog/0/search.aspx?search=июния%20халаты&xsearch=true&xsearch=true&sort=popular,46.0,766.3260869565217,370.0,1437.0,73.0,0.0,634.0,46.0,43.0,23.0,44.0,84.0,57.30434782608695
634848,таранка,https://www.wildberries.ru/catalog/0/search.aspx?search=таранка&xsearch=true&xsearch=true&sort=popular,4.0,2317.5,1497.0,2812.0,375.0,0.0,1010.0,3.0,3.0,3.0,18.0,51.0,35.25
634910,всемирная история филипок,https://www.wildberries.ru/catalog/0/search.aspx?search=всемирная%20история%20филипок&xsearch=true&xsearch=true&sort=popular,3.0,838.6666666666665,708.0,1100.0,245.0,44.0,397.0,3.0,3.0,3.0,79.0,84.0,82.0
634956,рупи каур,https://www.wildberries.ru/catalog/0/search.aspx?search=рупи%20каур&xsearch=true&xsearch=true&sort=popular,2.0,689.5,572.0,807.0,51.0,10.0,91.0,2.0,2.0,2.0,26.0,37.0,31.5
635669,коврик для загара,https://www.wildberries.ru/catalog/0/search.aspx?search=коврик%20для%20загара&xsearch=true&xsearch=true&sort=popular,14.0,1056.2142857142858,409.0,1762.0,20.0,0.0,202.0,3.0,2.0,1.0,19.0,73.0,50.85714285714285
635761,флэшка браслет,https://www.wildberries.ru/catalog/0/search.aspx?search=флэшка%20браслет&xsearch=true&xsearch=true&sort=popular,3.0,766.3333333333335,595.0,905.0,90.0,5.0,177.0,3.0,3.0,3.0,54.0,80.0,63.66666666666666
