index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
271100,мишель пастуро,https://www.wildberries.ru/catalog/0/search.aspx?search=мишель%20пастуро&xsearch=true&xsearch=true&sort=popular,7.0,442.4285714285714,379.0,664.0,26.0,2.0,53.0,7.0,6.0,5.0,44.0,46.0,44.42857142857143,мишель
271102,горка канада,https://www.wildberries.ru/catalog/0/search.aspx?search=горка%20канада&xsearch=true&xsearch=true&sort=popular,6.0,1747.666666666667,615.0,2665.0,190.0,0.0,582.0,6.0,4.0,4.0,6.0,17.0,10.333333333333334,горка
271105,riche маска,https://www.wildberries.ru/catalog/0/search.aspx?search=riche%20маска&xsearch=true&xsearch=true&sort=popular,6.0,865.6666666666665,590.0,1352.0,277.0,60.0,487.0,7.0,7.0,7.0,60.0,67.0,61.16666666666666,маска
271124,праймер для нанесения блесток,https://www.wildberries.ru/catalog/0/search.aspx?search=праймер%20для%20нанесения%20блесток&xsearch=true&xsearch=true&sort=popular,3.0,1072.3333333333333,577.0,1320.0,1122.0,944.0,1222.0,4.0,4.0,4.0,30.0,51.0,44.0,праймер
271175,подушка 50х70 василиса,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%2050х70%20василиса&xsearch=true&xsearch=true&sort=popular,8.0,731.625,506.0,928.0,20.0,0.0,58.0,8.0,8.0,8.0,37.0,75.0,65.25,подушка
271208,авене маска,https://www.wildberries.ru/catalog/0/search.aspx?search=авене%20маска&xsearch=true&xsearch=true&sort=popular,9.0,1329.111111111111,959.0,1824.0,17.0,0.0,51.0,6.0,5.0,4.0,,,,маска авен
271231,alize puffy черный,https://www.wildberries.ru/catalog/0/search.aspx?search=alize%20puffy%20черный&xsearch=true&xsearch=true&sort=popular,31.0,1024.032258064516,444.0,1307.0,9.0,0.0,76.0,6.0,6.0,6.0,,,,
271232,игрушка подвеска жирафики,https://www.wildberries.ru/catalog/0/search.aspx?search=игрушка%20подвеска%20жирафики&xsearch=true&xsearch=true&sort=popular,17.0,760.9411764705882,400.0,1421.0,46.0,3.0,181.0,18.0,17.0,17.0,20.0,45.0,30.235294117647058,подвеска игрушка
271246,bb cream primer,https://www.wildberries.ru/catalog/0/search.aspx?search=bb%20cream%20primer&xsearch=true&xsearch=true&sort=popular,15.0,700.3333333333335,353.0,972.0,61.0,0.0,462.0,9.0,8.0,7.0,7.0,46.0,32.13333333333333,
271323,звуковое мемори,https://www.wildberries.ru/catalog/0/search.aspx?search=звуковое%20мемори&xsearch=true&xsearch=true&sort=popular,3.0,1399.666666666667,667.0,2547.0,52.0,8.0,135.0,3.0,2.0,2.0,,,,меморить звуковой
271373,пудра collagen 21,https://www.wildberries.ru/catalog/0/search.aspx?search=пудра%20collagen%2021&xsearch=true&xsearch=true&sort=popular,12.0,1108.75,630.0,1753.0,22.0,0.0,124.0,6.0,6.0,3.0,15.0,50.0,35.416666666666664,пудра
271380,слип камуфляж,https://www.wildberries.ru/catalog/0/search.aspx?search=слип%20камуфляж&xsearch=true&xsearch=true&sort=popular,39.0,683.0,383.0,1146.0,8.0,0.0,43.0,36.0,7.0,7.0,20.0,68.0,48.43589743589744,камуфляж слип
271389,корейский лак для волос,https://www.wildberries.ru/catalog/0/search.aspx?search=корейский%20лак%20для%20волос&xsearch=true&xsearch=true&sort=popular,14.0,787.2142857142858,467.0,1500.0,9.0,0.0,58.0,10.0,2.0,2.0,,,,лак корейский
271414,коврик для фотосессии,https://www.wildberries.ru/catalog/0/search.aspx?search=коврик%20для%20фотосессии&xsearch=true&xsearch=true&sort=popular,6.0,2029.5,978.0,3000.0,38.0,2.0,122.0,7.0,2.0,2.0,,,,коврик
271452,batiste,https://www.wildberries.ru/catalog/0/search.aspx?search=batiste&xsearch=true&xsearch=true&sort=popular,23.0,628.4782608695652,378.0,1007.0,91.0,0.0,716.0,24.0,24.0,24.0,33.0,52.0,36.26086956521739,
271454,шампунь concept blond,https://www.wildberries.ru/catalog/0/search.aspx?search=шампунь%20concept%20blond&xsearch=true&xsearch=true&sort=popular,8.0,676.5,370.0,898.0,511.0,0.0,2188.0,8.0,8.0,8.0,20.0,60.0,44.25,шампунь
271460,крестильный комплект 104,https://www.wildberries.ru/catalog/0/search.aspx?search=крестильный%20комплект%20104&xsearch=true&xsearch=true&sort=popular,11.0,1080.5454545454545,699.0,1625.0,30.0,0.0,100.0,7.0,7.0,7.0,20.0,50.0,37.36363636363637,комплект крестильный
271468,drainage liquor,https://www.wildberries.ru/catalog/0/search.aspx?search=drainage%20liquor&xsearch=true&xsearch=true&sort=popular,6.0,1549.0,1099.0,1999.0,429.0,183.0,908.0,7.0,7.0,7.0,,,,
