index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
25477,грунт для клубники,https://www.wildberries.ru/catalog/0/search.aspx?search=грунт%20для%20клубники&xsearch=true&xsearch=true&sort=popular,24.0,653.7916666666666,350.0,1550.0,57.0,0.0,472.0,17.0,13.0,8.0,0.0,80.0,32.291666666666664,wb,166.0
26184,соска термометр,https://www.wildberries.ru/catalog/0/search.aspx?search=соска%20термометр&xsearch=true&xsearch=true&sort=popular,7.0,564.8571428571429,468.0,720.0,10.0,0.0,56.0,1.0,1.0,1.0,20.0,54.0,41.57142857142857,wb,77.0
26250,безалкогольное вино,https://www.wildberries.ru/catalog/0/search.aspx?search=безалкогольное%20вино&xsearch=true&xsearch=true&sort=popular,95.0,1080.5052631578947,483.0,2653.0,8.0,0.0,58.0,27.0,16.0,16.0,0.0,58.0,24.8,wb,94.0
26369,лагиаль,https://www.wildberries.ru/catalog/0/search.aspx?search=лагиаль&xsearch=true&xsearch=true&sort=popular,1.0,634.0,634.0,634.0,103.0,103.0,103.0,1.0,1.0,1.0,18.0,18.0,18.0,wb,89.0
26475,русские корни бад,https://www.wildberries.ru/catalog/0/search.aspx?search=русские%20корни%20бад&xsearch=true&xsearch=true&sort=popular,1.0,642.0,642.0,642.0,43.0,43.0,43.0,1.0,1.0,1.0,12.0,12.0,12.0,wb,77.0
26626,перчатки рейма,https://www.wildberries.ru/catalog/0/search.aspx?search=перчатки%20рейма&xsearch=true&xsearch=true&sort=popular,89.0,1659.2921348314608,599.0,3199.0,58.0,0.0,247.0,77.0,73.0,73.0,0.0,50.0,22.50561797752809,wb,153.0
26649,гиппенрейтер игра,https://www.wildberries.ru/catalog/0/search.aspx?search=гиппенрейтер%20игра&xsearch=true&xsearch=true&sort=popular,5.0,1366.4,879.0,1753.0,23.0,7.0,43.0,3.0,2.0,1.0,20.0,30.0,22.0,wb,101.0
26735,скраб для рук aravia,https://www.wildberries.ru/catalog/0/search.aspx?search=скраб%20для%20рук%20aravia&xsearch=true&xsearch=true&sort=popular,7.0,714.7142857142858,395.0,1108.0,355.0,2.0,1146.0,5.0,5.0,5.0,16.0,80.0,48.28571428571429,wb,307.0
26742,рулонные шторы 45 см,https://www.wildberries.ru/catalog/0/search.aspx?search=рулонные%20шторы%2045%20см&xsearch=true&xsearch=true&sort=popular,67.0,915.8358208955223,413.0,1456.0,44.0,0.0,272.0,45.0,40.0,38.0,5.0,77.0,57.19402985074627,wb,133.0
26745,книга 45 татуировок,https://www.wildberries.ru/catalog/0/search.aspx?search=книга%2045%20татуировок&xsearch=true&xsearch=true&sort=popular,6.0,1654.0,1036.0,2287.0,88.0,1.0,196.0,5.0,5.0,5.0,3.0,19.0,8.5,wb,142.0
