index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
38782,biolage,https://www.wildberries.ru/catalog/0/search.aspx?search=biolage&xsearch=true&xsearch=true&sort=popular,,1226.6190476190475,556.0,2576.0,122.0,0.0,869.0,63.0,52.0,50.0,5.0,40.0,23.46031746031746,
99607,чехол на планшет dexp,https://www.wildberries.ru/catalog/0/search.aspx?search=чехол%20на%20планшет%20dexp&xsearch=true&xsearch=true&sort=popular,,998.0,998.0,998.0,90.0,90.0,90.0,1.0,1.0,1.0,65.0,65.0,65.0,чехол
111680,гигантская детская 4d энциклопедия,https://www.wildberries.ru/catalog/0/search.aspx?search=гигантская%20детская%204d%20энциклопедия&xsearch=true&xsearch=true&sort=popular,,670.3333333333334,474.0,907.0,347.0,2.0,859.0,2.0,2.0,2.0,10.0,35.0,25.66666666666667,энциклопедия гигантский
115859,jbl endurance,https://www.wildberries.ru/catalog/0/search.aspx?search=jbl%20endurance&xsearch=true&xsearch=true&sort=popular,,2397.0,2097.0,2697.0,20.0,0.0,40.0,1.0,1.0,1.0,73.0,79.0,76.0,
147360,offspring влажные салфетки,https://www.wildberries.ru/catalog/0/search.aspx?search=offspring%20влажные%20салфетки&xsearch=true&xsearch=true&sort=popular,,465.0,465.0,465.0,209.0,209.0,209.0,1.0,1.0,1.0,5.0,5.0,5.0,салфетка
149018,вовка добрая душа,https://www.wildberries.ru/catalog/0/search.aspx?search=вовка%20добрая%20душа&xsearch=true&xsearch=true&sort=popular,,1016.5,548.0,1485.0,34.0,5.0,63.0,1.0,1.0,1.0,20.0,20.0,20.0,вовка добрый
165196,палочка чка,https://www.wildberries.ru/catalog/0/search.aspx?search=палочка%20чка&xsearch=true&xsearch=true&sort=popular,,693.0,693.0,693.0,80.0,80.0,80.0,1.0,1.0,1.0,30.0,30.0,30.0,палочка
193790,бальзам для губ baby lips,https://www.wildberries.ru/catalog/0/search.aspx?search=бальзам%20для%20губ%20baby%20lips&xsearch=true&xsearch=true&sort=popular,,524.8333333333334,449.0,540.0,106.0,1.0,304.0,6.0,5.0,4.0,10.0,19.0,11.5,бальзам
200575,moony,https://www.wildberries.ru/catalog/0/search.aspx?search=moony&xsearch=true&xsearch=true&sort=popular,,1494.0769230769229,539.0,2481.0,291.0,14.0,944.0,26.0,23.0,23.0,32.0,76.0,50.884615384615394,
224756,воск клеопатра,https://www.wildberries.ru/catalog/0/search.aspx?search=воск%20клеопатра&xsearch=true&xsearch=true&sort=popular,,1282.0,1282.0,1282.0,330.0,330.0,330.0,1.0,1.0,1.0,14.0,14.0,14.0,воск клеопатра
236130,туристическая посуда следопыт,https://www.wildberries.ru/catalog/0/search.aspx?search=туристическая%20посуда%20следопыт&xsearch=true&xsearch=true&sort=popular,16.0,1358.875,532.0,2693.0,8.0,0.0,48.0,8.0,8.0,8.0,29.0,50.0,47.375,посуда туристический
236154,огнетушитель оп,https://www.wildberries.ru/catalog/0/search.aspx?search=огнетушитель%20оп&xsearch=true&xsearch=true&sort=popular,26.0,1006.9615384615383,423.0,1920.0,46.0,0.0,252.0,25.0,25.0,25.0,,,,огнетушитель
236170,линзы серые 0.0,https://www.wildberries.ru/catalog/0/search.aspx?search=линзы%20серые%200.0&xsearch=true&xsearch=true&sort=popular,11.0,1169.3636363636365,685.0,1439.0,8.0,0.0,48.0,3.0,3.0,3.0,20.0,46.0,29.181818181818183,линза
236214,уланик поднос,https://www.wildberries.ru/catalog/0/search.aspx?search=уланик%20поднос&xsearch=true&xsearch=true&sort=popular,3.0,478.0,461.0,495.0,41.0,29.0,58.0,4.0,4.0,4.0,35.0,35.0,35.0,поднос уланик
236224,dc shoes сумка,https://www.wildberries.ru/catalog/0/search.aspx?search=dc%20shoes%20сумка&xsearch=true&xsearch=true&sort=popular,17.0,1361.8235294117646,984.0,2241.0,29.0,1.0,79.0,3.0,3.0,3.0,10.0,47.0,36.117647058823536,сумка
236263,ножницы кухонные xiaomi,https://www.wildberries.ru/catalog/0/search.aspx?search=ножницы%20кухонные%20xiaomi&xsearch=true&xsearch=true&sort=popular,1.0,464.0,464.0,464.0,69.0,69.0,69.0,2.0,2.0,2.0,8.0,8.0,8.0,ножницы
236295,elan gallery кувшин,https://www.wildberries.ru/catalog/0/search.aspx?search=elan%20gallery%20кувшин&xsearch=true&xsearch=true&sort=popular,29.0,784.0,495.0,1351.0,46.0,2.0,93.0,28.0,27.0,24.0,60.0,86.0,73.51724137931033,кувшин
