index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
86262,кларинс для загара,https://www.wildberries.ru/catalog/0/search.aspx?search=кларинс%20для%20загара&xsearch=true&xsearch=true&sort=popular,9.0,1280.5555555555557,875.0,1860.0,214.0,11.0,1002.0,9.0,8.0,7.0,40.0,50.0,45.555555555555564,wb,296.0
86342,фитбол матовый,https://www.wildberries.ru/catalog/0/search.aspx?search=фитбол%20матовый&xsearch=true&xsearch=true&sort=popular,44.0,950.5,482.0,1423.0,51.0,3.0,201.0,44.0,44.0,44.0,30.0,76.0,31.04545454545455,wb,120.0
86432,липобейз крем,https://www.wildberries.ru/catalog/0/search.aspx?search=липобейз%20крем&xsearch=true&xsearch=true&sort=popular,12.0,657.0833333333334,396.0,1465.0,25.0,1.0,86.0,6.0,4.0,2.0,0.0,51.0,21.75,wb,86.0
86545,светодиодсветильник люстра с кристаллами,https://www.wildberries.ru/catalog/0/search.aspx?search=светодиодсветильник%20люстра%20с%20кристаллами&xsearch=true&xsearch=true&sort=popular,13.0,2585.076923076923,392.0,4189.0,11.0,0.0,66.0,5.0,5.0,1.0,51.0,53.0,51.153846153846146,ali,146.0
86583,"постельное белье т37 1,5","https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%20т37%201,5&xsearch=true&xsearch=true&sort=popular",58.0,1034.3620689655172,543.0,2250.0,32.0,0.0,199.0,58.0,58.0,58.0,0.0,50.0,37.879310344827594,wb,122.0
86830,run 60s,https://www.wildberries.ru/catalog/0/search.aspx?search=run%2060s&xsearch=true&xsearch=true&sort=popular,12.0,3641.916666666666,2279.0,4099.0,151.0,26.0,404.0,12.0,12.0,12.0,18.0,51.0,26.5,wb,252.0
86928,кошмары аиста марабу,https://www.wildberries.ru/catalog/0/search.aspx?search=кошмары%20аиста%20марабу&xsearch=true&xsearch=true&sort=popular,1.0,460.0,460.0,460.0,54.0,54.0,54.0,1.0,1.0,1.0,40.0,40.0,40.0,wb,73.0
87108,автосканер 1.5,https://www.wildberries.ru/catalog/0/search.aspx?search=автосканер%201.5&xsearch=true&xsearch=true&sort=popular,84.0,811.6785714285713,371.0,2370.0,64.0,0.0,673.0,69.0,67.0,67.0,0.0,91.0,53.773809523809526,wb,212.0
87141,hd980d,https://www.wildberries.ru/catalog/0/search.aspx?search=hd980d&xsearch=true&xsearch=true&sort=popular,3.0,1631.666666666667,1333.0,1843.0,49.0,3.0,82.0,2.0,2.0,2.0,0.0,49.0,25.0,wb,118.0
87144,грудной протез для трансвеститов,https://www.wildberries.ru/catalog/0/search.aspx?search=грудной%20протез%20для%20трансвеститов&xsearch=true&xsearch=true&sort=popular,2.0,629.5,604.0,655.0,110.0,16.0,203.0,2.0,1.0,1.0,54.0,58.0,56.0,ali,109.0
