index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
406524,"постельное белье 1,5 спальное тачки","https://www.wildberries.ru/catalog/0/search.aspx?search=постельное%20белье%201,5%20спальное%20тачки&xsearch=true&xsearch=true&sort=popular",1621.3,1032.0,2089.0,73.0,0.0,482.0,29.0,27.0,27.0,0.0,81.0,64.36666666666666,118354.9,267791.2,66947.8,37.0,wb,200.0
406525,на стол пластиковая салфетка скатерть,https://www.wildberries.ru/catalog/0/search.aspx?search=на%20стол%20пластиковая%20салфетка%20скатерть&xsearch=true&xsearch=true&sort=popular,1442.4333333333334,557.0,3681.0,72.0,3.0,845.0,30.0,28.0,28.0,0.0,83.0,65.86666666666666,103855.2,257579.2,64394.8,58.0,wb,269.0
406546,смесь малютка 2,https://www.wildberries.ru/catalog/0/search.aspx?search=смесь%20малютка%202&xsearch=true&xsearch=true&sort=popular,665.6666666666666,430.0,869.0,706.0,10.0,1885.0,2.0,2.0,2.0,0.0,0.0,0.0,469960.67,469960.67,117490.17,177.0,wb,458.0
406584,инсайт карты,https://www.wildberries.ru/catalog/0/search.aspx?search=инсайт%20карты&xsearch=true&xsearch=true&sort=popular,1687.4,1260.0,2558.0,37.0,0.0,82.0,4.0,4.0,4.0,22.0,49.0,39.8,62433.8,62433.8,15608.45,10.0,wb,120.0
406589,купальн к,https://www.wildberries.ru/catalog/0/search.aspx?search=купальн%20к&xsearch=true&xsearch=true&sort=popular,1656.2333333333331,507.0,3340.0,465.0,106.0,3495.0,30.0,30.0,30.0,10.0,79.0,52.1,770148.5,1654811.2,413702.8,249.0,wb,824.0
406650,шапка женская зимняя ангора,https://www.wildberries.ru/catalog/0/search.aspx?search=шапка%20женская%20зимняя%20ангора&xsearch=true&xsearch=true&sort=popular,1810.7666666666669,1014.0,2685.0,43.0,4.0,283.0,29.0,29.0,10.0,25.0,65.0,51.9,77862.97,213652.4,53413.1,46.0,wb,165.0
406661,сумка для бутс,https://www.wildberries.ru/catalog/0/search.aspx?search=сумка%20для%20бутс&xsearch=true&xsearch=true&sort=popular,1411.4,783.0,2200.0,38.0,0.0,121.0,3.0,3.0,3.0,33.0,56.0,43.8,53633.2,53633.2,13408.3,10.0,wb,118.0
406666,дикие скричеры гроул,https://www.wildberries.ru/catalog/0/search.aspx?search=дикие%20скричеры%20гроул&xsearch=true&xsearch=true&sort=popular,2299.5,1999.0,2600.0,26.0,2.0,49.0,2.0,2.0,2.0,22.0,35.0,28.5,59787.0,59787.0,14946.75,7.0,wb,133.0
406672,шапка на мальчика осень с завязками,https://www.wildberries.ru/catalog/0/search.aspx?search=шапка%20на%20мальчика%20осень%20с%20завязками&xsearch=true&xsearch=true&sort=popular,1361.7,493.0,3172.0,240.0,18.0,1474.0,30.0,30.0,30.0,20.0,66.0,48.53333333333333,326808.0,601463.2,150365.8,151.0,wb,396.0
406698,халат для дома трикотажный,https://www.wildberries.ru/catalog/0/search.aspx?search=халат%20для%20дома%20трикотажный&xsearch=true&xsearch=true&sort=popular,920.6333333333333,364.0,1925.0,66.0,0.0,289.0,29.0,22.0,22.0,36.0,72.0,57.53333333333333,60761.8,122208.0,30552.0,34.0,wb,137.0
406702,кошелек магнит,https://www.wildberries.ru/catalog/0/search.aspx?search=кошелек%20магнит&xsearch=true&xsearch=true&sort=popular,1676.6,510.0,2795.0,47.0,0.0,241.0,30.0,30.0,30.0,33.0,75.0,62.63333333333333,78800.2,223257.6,55814.4,29.0,wb,152.0
406707,ариэль 6 кг,https://www.wildberries.ru/catalog/0/search.aspx?search=ариэль%206%20кг&xsearch=true&xsearch=true&sort=popular,690.0,690.0,690.0,228.0,182.0,287.0,3.0,3.0,3.0,51.0,51.0,51.0,157320.0,157320.0,39330.0,57.0,wb,129.0
406710,остин мужчинам,https://www.wildberries.ru/catalog/0/search.aspx?search=остин%20мужчинам&xsearch=true&xsearch=true&sort=popular,1940.6,1000.0,4499.0,163.0,60.0,391.0,30.0,30.0,30.0,0.0,45.0,8.966666666666667,316317.8,526584.0,131646.0,74.0,wb,192.0
406718,электроварка,https://www.wildberries.ru/catalog/0/search.aspx?search=электроварка&xsearch=true&xsearch=true&sort=popular,2690.0,2390.0,2990.0,60.0,0.0,119.0,1.0,1.0,1.0,0.0,25.0,12.5,161400.0,161400.0,40350.0,15.0,wb,161.0
406729,топик шелковый,https://www.wildberries.ru/catalog/0/search.aspx?search=топик%20шелковый&xsearch=true&xsearch=true&sort=popular,1789.8,717.0,2557.0,69.0,18.0,160.0,30.0,30.0,29.0,5.0,73.0,51.4,123496.2,194834.6,48708.65,29.0,wb,139.0
406747,игровой набор визажист,https://www.wildberries.ru/catalog/0/search.aspx?search=игровой%20набор%20визажист&xsearch=true&xsearch=true&sort=popular,1853.6,426.0,3777.0,31.0,0.0,362.0,29.0,23.0,23.0,0.0,92.0,45.86666666666667,57461.6,28982.4,7245.6,6.0,wb,183.0
406760,педикюрные диски,https://www.wildberries.ru/catalog/0/search.aspx?search=педикюрные%20диски&xsearch=true&xsearch=true&sort=popular,1001.5,354.0,1937.0,690.0,0.0,19558.0,27.0,27.0,27.0,0.0,85.0,31.2,691035.0,148264.8,37066.2,41.0,wb,4121.0
406762,плавки с высокой талией,https://www.wildberries.ru/catalog/0/search.aspx?search=плавки%20с%20высокой%20талией&xsearch=true&xsearch=true&sort=popular,1477.7666666666669,759.0,2475.0,55.0,0.0,372.0,30.0,30.0,30.0,5.0,78.0,40.93333333333333,81277.17,35508.0,8877.0,5.0,wb,173.0
406776,фен щетка поларис,https://www.wildberries.ru/catalog/0/search.aspx?search=фен%20щетка%20поларис&xsearch=true&xsearch=true&sort=popular,2131.5,1439.0,3329.0,227.0,3.0,743.0,3.0,3.0,3.0,32.0,41.0,35.5,483850.5,483850.5,120962.62,57.0,wb,271.0
406786,"женская ,keprf с коротким рукавом","https://www.wildberries.ru/catalog/0/search.aspx?search=женская%20,keprf%20с%20коротким%20рукавом&xsearch=true&xsearch=true&sort=popular",1140.8,370.0,4080.0,267.0,0.0,7055.0,29.0,29.0,29.0,0.0,86.0,64.03333333333333,304593.6,2203740.4,550935.1,357.0,wb,1542.0
406794,шторы в детскую девочке,https://www.wildberries.ru/catalog/0/search.aspx?search=шторы%20в%20детскую%20девочке&xsearch=true&xsearch=true&sort=popular,2644.133333333333,1234.0,4426.0,43.0,0.0,152.0,30.0,30.0,26.0,11.0,81.0,55.26666666666666,113697.73,201404.0,50351.0,18.0,wb,166.0
406821,рашгард низ,https://www.wildberries.ru/catalog/0/search.aspx?search=рашгард%20низ&xsearch=true&xsearch=true&sort=popular,1528.5,897.0,2047.0,50.0,8.0,131.0,30.0,30.0,25.0,22.0,81.0,51.73333333333333,76425.0,163154.8,40788.7,23.0,wb,124.0
