index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
113,воск depilflax,https://www.wildberries.ru/catalog/0/search.aspx?search=воск%20depilflax&xsearch=true&xsearch=true&sort=popular,1.0,1600.0,1600.0,1600.0,194.0,194.0,194.0,2.0,2.0,2.0,,,,воск
473,учебник английского языка бонк,https://www.wildberries.ru/catalog/0/search.aspx?search=учебник%20английского%20языка%20бонк&xsearch=true&xsearch=true&sort=popular,8.0,657.125,516.0,922.0,17.0,0.0,59.0,9.0,7.0,7.0,,,,учебник бонк
475,английский для детей сборник упражнений,https://www.wildberries.ru/catalog/0/search.aspx?search=английский%20для%20детей%20сборник%20упражнений&xsearch=true&xsearch=true&sort=popular,2.0,400.5,355.0,446.0,32.0,5.0,58.0,2.0,2.0,2.0,25.0,50.0,37.5,ребенок сборник английский
485,happy baby котик,https://www.wildberries.ru/catalog/0/search.aspx?search=happy%20baby%20котик&xsearch=true&xsearch=true&sort=popular,5.0,1325.0,420.0,2590.0,35.0,18.0,73.0,5.0,3.0,2.0,17.0,30.0,20.8,
499,шкатулка нефертити,https://www.wildberries.ru/catalog/0/search.aspx?search=шкатулка%20нефертити&xsearch=true&xsearch=true&sort=popular,2.0,2199.0,2199.0,2199.0,140.0,120.0,160.0,3.0,3.0,3.0,,,,шкатулка
559,кашпо 10л,https://www.wildberries.ru/catalog/0/search.aspx?search=кашпо%2010л&xsearch=true&xsearch=true&sort=popular,11.0,2410.909090909091,1540.0,2900.0,17.0,5.0,42.0,11.0,10.0,2.0,,,,кашпо
594,кот basik 40 см,https://www.wildberries.ru/catalog/0/search.aspx?search=кот%20basik%2040%20см&xsearch=true&xsearch=true&sort=popular,4.0,1601.75,1387.0,1995.0,100.0,0.0,266.0,3.0,3.0,3.0,33.0,72.0,53.0,кот
627,пивная кружка 1000 мл,https://www.wildberries.ru/catalog/0/search.aspx?search=пивная%20кружка%201000%20мл&xsearch=true&xsearch=true&sort=popular,24.0,800.8333333333335,442.0,1725.0,5.0,0.0,51.0,7.0,2.0,2.0,19.0,66.0,43.45833333333334,кружка пивной
768,popcorn books,https://www.wildberries.ru/catalog/0/search.aspx?search=popcorn%20books&xsearch=true&xsearch=true&sort=popular,30.0,552.0666666666667,416.0,2228.0,102.0,0.0,919.0,24.0,19.0,19.0,5.0,24.0,22.86666666666667,
783,ферби пикси,https://www.wildberries.ru/catalog/0/search.aspx?search=ферби%20пикси&xsearch=true&xsearch=true&sort=popular,40.0,1473.775,378.0,2414.0,5.0,0.0,44.0,23.0,20.0,19.0,15.0,74.0,52.425,ферби
796,joli angel / шкатулка для украшений,https://www.wildberries.ru/catalog/0/search.aspx?search=joli%20angel%20/%20шкатулка%20для%20украшений&xsearch=true&xsearch=true&sort=popular,12.0,1287.5833333333333,690.0,2199.0,110.0,0.0,259.0,13.0,13.0,13.0,,,,шкатулка
865,тельняшка теплая,https://www.wildberries.ru/catalog/0/search.aspx?search=тельняшка%20теплая&xsearch=true&xsearch=true&sort=popular,41.0,889.4146341463414,399.0,1817.0,6.0,0.0,46.0,22.0,5.0,5.0,5.0,81.0,44.90243902439025,тельняшка теплый
1019,тапки мужские домашние из войлока,https://www.wildberries.ru/catalog/0/search.aspx?search=тапки%20мужские%20домашние%20из%20войлока&xsearch=true&xsearch=true&sort=popular,68.0,997.3529411764706,360.0,2206.0,28.0,0.0,268.0,51.0,51.0,34.0,,,,тапок
1079,япония история и культура,https://www.wildberries.ru/catalog/0/search.aspx?search=япония%20история%20и%20культура&xsearch=true&xsearch=true&sort=popular,1.0,790.0,790.0,790.0,82.0,82.0,82.0,2.0,2.0,2.0,20.0,20.0,20.0,история япония
1088,стеллаж узкий,https://www.wildberries.ru/catalog/0/search.aspx?search=стеллаж%20узкий&xsearch=true&xsearch=true&sort=popular,12.0,2068.833333333333,999.0,2880.0,13.0,0.0,43.0,3.0,3.0,3.0,,,,стеллаж узкий
1216,косметичка женская esse,https://www.wildberries.ru/catalog/0/search.aspx?search=косметичка%20женская%20esse&xsearch=true&xsearch=true&sort=popular,25.0,802.0,725.0,900.0,28.0,5.0,117.0,25.0,16.0,10.0,40.0,50.0,45.6,косметичка женский
1225,насадка на швабру leifheit micro duo s,https://www.wildberries.ru/catalog/0/search.aspx?search=насадка%20на%20швабру%20leifheit%20micro%20duo%20s&xsearch=true&xsearch=true&sort=popular,1.0,592.0,592.0,592.0,111.0,111.0,111.0,2.0,2.0,2.0,20.0,20.0,20.0,насадка
1287,подушка декоративная корги,https://www.wildberries.ru/catalog/0/search.aspx?search=подушка%20декоративная%20корги&xsearch=true&xsearch=true&sort=popular,14.0,911.4285714285713,459.0,2093.0,10.0,0.0,45.0,10.0,10.0,10.0,3.0,85.0,35.357142857142854,корги подушка
