index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
359268,бальзам hair company,https://www.wildberries.ru/catalog/0/search.aspx?search=бальзам%20hair%20company&xsearch=true&xsearch=true&sort=popular,7.0,863.1428571428571,471.0,1472.0,114.0,4.0,348.0,7.0,6.0,6.0,,,,бальзам
359287,блокнот тренеру,https://www.wildberries.ru/catalog/0/search.aspx?search=блокнот%20тренеру&xsearch=true&xsearch=true&sort=popular,36.0,1098.388888888889,500.0,1190.0,11.0,0.0,77.0,37.0,37.0,37.0,,,,блокнот
359326,рулонные шторы 65 см,https://www.wildberries.ru/catalog/0/search.aspx?search=рулонные%20шторы%2065%20см&xsearch=true&xsearch=true&sort=popular,13.0,1416.8461538461538,1190.0,2069.0,14.0,0.0,41.0,10.0,6.0,6.0,9.0,49.0,34.230769230769226,штора рулонный
359368,игровой джойстик для телевизора,https://www.wildberries.ru/catalog/0/search.aspx?search=игровой%20джойстик%20для%20телевизора&xsearch=true&xsearch=true&sort=popular,23.0,1737.391304347826,504.0,2981.0,20.0,0.0,79.0,19.0,13.0,11.0,,,,джойстик игровой
359428,летто семейный,https://www.wildberries.ru/catalog/0/search.aspx?search=летто%20семейный&xsearch=true&xsearch=true&sort=popular,5.0,2098.0,1680.0,2380.0,39.0,17.0,75.0,6.0,6.0,4.0,20.0,35.0,29.0,летто
359433,airpods аналог,https://www.wildberries.ru/catalog/0/search.aspx?search=airpods%20аналог&xsearch=true&xsearch=true&sort=popular,8.0,1255.25,527.0,2394.0,31.0,0.0,135.0,4.0,4.0,3.0,35.0,80.0,63.25,аналог
359443,скрепыши магнит,https://www.wildberries.ru/catalog/0/search.aspx?search=скрепыши%20магнит&xsearch=true&xsearch=true&sort=popular,1.0,1623.0,1623.0,1623.0,105.0,105.0,105.0,2.0,2.0,2.0,42.0,42.0,42.0,магнит скрепыш
359501,пустышка авент 6-18,https://www.wildberries.ru/catalog/0/search.aspx?search=пустышка%20авент%206-18&xsearch=true&xsearch=true&sort=popular,6.0,691.3333333333335,420.0,850.0,165.0,0.0,397.0,4.0,4.0,4.0,,,,пустышка
359504,палетка теней forever flawless,https://www.wildberries.ru/catalog/0/search.aspx?search=палетка%20теней%20forever%20flawless&xsearch=true&xsearch=true&sort=popular,23.0,1085.4347826086957,810.0,1292.0,71.0,0.0,746.0,23.0,23.0,16.0,5.0,30.0,6.086956521739131,палетка
359507,термокружка polaris,https://www.wildberries.ru/catalog/0/search.aspx?search=термокружка%20polaris&xsearch=true&xsearch=true&sort=popular,2.0,1315.5,1065.0,1566.0,42.0,42.0,42.0,3.0,3.0,3.0,5.0,35.0,20.0,термокружок
