index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
76480,l'oreal professional масло,https://www.wildberries.ru/catalog/0/search.aspx?search=l'oreal%20professional%20масло&xsearch=true&xsearch=true&sort=popular,3.0,1195.0,957.0,1495.0,924.0,487.0,1361.0,3.0,3.0,3.0,,,,масло
76481,l'oreal professional vitamino,https://www.wildberries.ru/catalog/0/search.aspx?search=l'oreal%20professional%20vitamino&xsearch=true&xsearch=true&sort=popular,9.0,1249.5555555555557,854.0,1855.0,659.0,33.0,1937.0,6.0,6.0,6.0,,,,
76482,l'oreal professional маска,https://www.wildberries.ru/catalog/0/search.aspx?search=l'oreal%20professional%20маска&xsearch=true&xsearch=true&sort=popular,18.0,1541.7777777777776,1088.0,1874.0,191.0,25.0,828.0,13.0,13.0,12.0,,,,маска
76484,l'oreal professional для окрашенных,https://www.wildberries.ru/catalog/0/search.aspx?search=l'oreal%20professional%20для%20окрашенных&xsearch=true&xsearch=true&sort=popular,15.0,1161.8,616.0,1855.0,397.0,0.0,1937.0,11.0,11.0,11.0,,,,
76485,ампулы лореаль,https://www.wildberries.ru/catalog/0/search.aspx?search=ампулы%20лореаль&xsearch=true&xsearch=true&sort=popular,2.0,760.5,755.0,766.0,66.0,48.0,83.0,3.0,3.0,3.0,30.0,31.0,30.5,ампула
76534,homedecor / органайзер для хранения,https://www.wildberries.ru/catalog/0/search.aspx?search=homedecor%20/%20органайзер%20для%20хранения&xsearch=true&xsearch=true&sort=popular,17.0,849.6470588235294,357.0,2382.0,16.0,0.0,50.0,8.0,8.0,8.0,45.0,88.0,59.17647058823529,органайзер
76573,лего 60205,https://www.wildberries.ru/catalog/0/search.aspx?search=лего%2060205&xsearch=true&xsearch=true&sort=popular,1.0,824.0,824.0,824.0,175.0,175.0,175.0,2.0,2.0,2.0,45.0,45.0,45.0,лего
76589,3д ручка лол,https://www.wildberries.ru/catalog/0/search.aspx?search=3д%20ручка%20лол&xsearch=true&xsearch=true&sort=popular,10.0,1516.3,1015.0,1680.0,20.0,0.0,101.0,7.0,7.0,3.0,30.0,73.0,55.7,д ручка
76597,fingerlings,https://www.wildberries.ru/catalog/0/search.aspx?search=fingerlings&xsearch=true&xsearch=true&sort=popular,22.0,1592.409090909091,928.0,2693.0,23.0,1.0,172.0,16.0,8.0,4.0,66.0,81.0,73.0909090909091,
76598,динозавр fingerlings,https://www.wildberries.ru/catalog/0/search.aspx?search=динозавр%20fingerlings&xsearch=true&xsearch=true&sort=popular,10.0,1407.0,977.0,1922.0,35.0,3.0,172.0,9.0,5.0,3.0,66.0,80.0,73.5,динозавр
76664,kapous аргановое масло,https://www.wildberries.ru/catalog/0/search.aspx?search=kapous%20аргановое%20масло&xsearch=true&xsearch=true&sort=popular,14.0,599.5714285714286,363.0,992.0,29.0,0.0,211.0,9.0,9.0,9.0,10.0,50.0,24.285714285714285,масло
76671,корабль викингов,https://www.wildberries.ru/catalog/0/search.aspx?search=корабль%20викингов&xsearch=true&xsearch=true&sort=popular,25.0,924.08,612.0,2726.0,3.0,0.0,62.0,2.0,2.0,2.0,,,,корабль
76682,artdeco тушь,https://www.wildberries.ru/catalog/0/search.aspx?search=artdeco%20тушь&xsearch=true&xsearch=true&sort=popular,15.0,665.1333333333333,426.0,844.0,29.0,2.0,99.0,14.0,10.0,10.0,18.0,37.0,25.93333333333333,
76703,бегство от свободы,https://www.wildberries.ru/catalog/0/search.aspx?search=бегство%20от%20свободы&xsearch=true&xsearch=true&sort=popular,2.0,691.0,590.0,792.0,30.0,15.0,44.0,3.0,2.0,2.0,,,,бегство
76704,15 книжек кубиков,https://www.wildberries.ru/catalog/0/search.aspx?search=15%20книжек%20кубиков&xsearch=true&xsearch=true&sort=popular,3.0,1153.0,1063.0,1198.0,19.0,5.0,41.0,2.0,2.0,2.0,20.0,52.0,30.66666666666667,книжка
76739,тональный крем revlon,https://www.wildberries.ru/catalog/0/search.aspx?search=тональный%20крем%20revlon&xsearch=true&xsearch=true&sort=popular,14.0,756.9285714285713,522.0,953.0,77.0,0.0,540.0,5.0,5.0,5.0,19.0,42.0,28.92857142857143,крем тональный
76742,revlon colorstay тональный крема,https://www.wildberries.ru/catalog/0/search.aspx?search=revlon%20colorstay%20тональный%20крема&xsearch=true&xsearch=true&sort=popular,8.0,810.25,550.0,1004.0,131.0,0.0,540.0,5.0,5.0,5.0,15.0,39.0,24.875,тональный
