index_label,ключевые слова,url,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,среднемесячный оборот топ-30,среднемесячный оборот топ-5,средненедельный оборот топ-5,ориентировочное количество выкупов в неделю,market,lot_size_65_days
484208,ночная сорочка i mum,https://www.wildberries.ru/catalog/0/search.aspx?search=ночная%20сорочка%20i%20mum&xsearch=true&xsearch=true&sort=popular,1812.3333333333333,594.0,2999.0,142.0,3.0,983.0,30.0,30.0,30.0,0.0,47.0,13.0,257351.33,537829.2,134457.3,86.0,wb,310.0
484236,нутрилон пепти аллергия,https://www.wildberries.ru/catalog/0/search.aspx?search=нутрилон%20пепти%20аллергия&xsearch=true&xsearch=true&sort=popular,1471.3333333333333,986.0,1784.0,1064.0,190.0,2195.0,3.0,3.0,3.0,25.0,32.0,27.33333333333333,1565498.67,1565498.67,391374.67,266.0,wb,549.0
484250,кисть 10м,https://www.wildberries.ru/catalog/0/search.aspx?search=кисть%2010м&xsearch=true&xsearch=true&sort=popular,3015.0,2031.0,3999.0,30.0,0.0,52.0,4.0,3.0,3.0,30.0,80.0,56.5,90450.0,90450.0,22612.5,8.0,wb,158.0
484272,рюкзак женский комплект,https://www.wildberries.ru/catalog/0/search.aspx?search=рюкзак%20женский%20комплект&xsearch=true&xsearch=true&sort=popular,2220.9666666666667,700.0,4118.0,119.0,0.0,1309.0,24.0,24.0,24.0,35.0,91.0,65.83333333333333,264295.03,1279969.6,319992.4,104.0,wb,391.0
484287,халат махровый женский на пуговицах,https://www.wildberries.ru/catalog/0/search.aspx?search=халат%20махровый%20женский%20на%20пуговицах&xsearch=true&xsearch=true&sort=popular,1358.6,623.0,3800.0,80.0,0.0,984.0,27.0,21.0,21.0,0.0,87.0,55.333333333333336,108688.0,563592.0,140898.0,115.0,wb,295.0
484288,нэнни 4,https://www.wildberries.ru/catalog/0/search.aspx?search=нэнни%204&xsearch=true&xsearch=true&sort=popular,2363.0,1818.0,2908.0,509.0,354.0,663.0,2.0,2.0,2.0,10.0,20.0,15.0,1202767.0,1202767.0,300691.75,128.0,wb,262.0
484292,shoulders 900,https://www.wildberries.ru/catalog/0/search.aspx?search=shoulders%20900&xsearch=true&xsearch=true&sort=popular,577.25,572.0,579.0,1998.0,242.0,5301.0,4.0,4.0,4.0,25.0,26.0,25.25,1153345.5,1153345.5,288336.38,500.0,wb,1161.0
484311,панама спортивная женская,https://www.wildberries.ru/catalog/0/search.aspx?search=панама%20спортивная%20женская&xsearch=true&xsearch=true&sort=popular,1388.3,516.0,2897.0,81.0,7.0,256.0,30.0,30.0,30.0,25.0,80.0,50.56666666666667,112452.3,170734.8,42683.7,40.0,wb,146.0
484334,краги зимние детские,https://www.wildberries.ru/catalog/0/search.aspx?search=краги%20зимние%20детские&xsearch=true&xsearch=true&sort=popular,1121.7,644.0,2082.0,356.0,45.0,1169.0,30.0,30.0,30.0,0.0,65.0,43.86666666666667,399325.2,844242.2,211060.55,138.0,wb,325.0
484358,кружки для парня,https://www.wildberries.ru/catalog/0/search.aspx?search=кружки%20для%20парня&xsearch=true&xsearch=true&sort=popular,755.6,358.0,984.0,743.0,106.0,3361.0,30.0,30.0,30.0,3.0,78.0,28.7,561410.8,1379700.0,344925.0,473.0,wb,766.0
484387,гель для допплера,https://www.wildberries.ru/catalog/0/search.aspx?search=гель%20для%20допплера&xsearch=true&xsearch=true&sort=popular,2082.333333333333,1758.0,2513.0,52.0,1.0,291.0,11.0,11.0,11.0,43.0,74.0,60.0,108281.33,158379.2,39594.8,20.0,wb,176.0
484397,картина пион,https://www.wildberries.ru/catalog/0/search.aspx?search=картина%20пион&xsearch=true&xsearch=true&sort=popular,1270.2,720.0,2550.0,242.0,11.0,956.0,30.0,30.0,30.0,4.0,81.0,44.66666666666666,307388.4,690635.0,172658.75,109.0,wb,286.0
484406,collagenup 5000,https://www.wildberries.ru/catalog/0/search.aspx?search=collagenup%205000&xsearch=true&xsearch=true&sort=popular,2537.714285714286,1615.0,3620.0,97.0,0.0,506.0,6.0,6.0,6.0,10.0,83.0,49.42857142857143,246158.29,285296.4,71324.1,29.0,wb,236.0
